date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",182.56,183.54,180.95,181.91,181.91,0.63%,"1,060,523"
"Nov 22, 2024",184.91,186.00,180.67,180.77,180.77,-2.23%,"651,595"
"Nov 21, 2024",182.27,185.15,180.70,184.90,184.90,1.92%,"456,524"
"Nov 20, 2024",177.99,183.28,177.95,181.41,181.41,1.77%,"477,628"
"Nov 19, 2024",177.52,179.50,176.62,178.25,178.25,-0.53%,"476,455"
"Nov 18, 2024",180.10,181.00,178.28,179.20,179.20,-0.93%,"628,201"
"Nov 15, 2024",184.32,185.84,180.36,180.88,180.88,-1.89%,"666,749"
"Nov 14, 2024",184.05,186.03,183.44,184.36,184.36,-0.34%,"650,058"
"Nov 13, 2024",183.66,185.14,183.05,184.99,184.99,0.52%,"518,222"
"Nov 12, 2024",184.62,185.12,183.39,184.04,184.04,-0.57%,"494,355"
"Nov 11, 2024",184.21,186.59,184.07,185.10,185.10,0.84%,"430,881"
"Nov 8, 2024",186.27,186.60,183.30,183.56,183.56,-1.29%,"467,396"
"Nov 7, 2024",186.58,187.47,185.77,185.96,185.96,-0.33%,"663,499"
"Nov 6, 2024",182.96,186.72,182.21,186.58,186.58,4.15%,"1,110,608"
"Nov 5, 2024",177.51,179.37,177.02,179.15,179.15,0.73%,"589,801"
"Nov 4, 2024",176.69,177.90,175.90,177.86,177.86,0.67%,"538,123"
"Nov 1, 2024",176.16,177.85,175.62,176.68,176.68,-0.09%,"850,269"
"Oct 31, 2024",177.35,179.17,176.40,176.84,176.84,-0.31%,"716,506"
"Oct 30, 2024",178.60,179.70,176.81,177.39,177.39,-0.77%,"784,582"
"Oct 29, 2024",178.36,180.18,178.33,178.77,178.77,-0.17%,"857,013"
"Oct 28, 2024",182.65,184.42,178.47,179.07,179.07,-1.21%,"903,164"
"Oct 25, 2024",187.00,191.79,180.58,181.26,181.26,-2.09%,"951,077"
"Oct 24, 2024",185.81,186.94,184.71,185.12,185.12,-0.34%,"677,897"
"Oct 23, 2024",186.58,187.22,185.48,185.75,185.75,-0.61%,"556,835"
"Oct 22, 2024",186.34,187.25,185.16,186.89,186.89,-0.15%,"527,979"
"Oct 21, 2024",187.04,187.48,185.46,187.17,187.17,-0.29%,"454,937"
"Oct 18, 2024",185.90,188.24,185.87,187.72,187.72,0.99%,"420,744"
"Oct 17, 2024",186.65,187.04,184.43,185.88,185.88,-0.63%,"1,294,314"
"Oct 16, 2024",188.10,188.64,185.75,187.06,187.06,-0.54%,"418,525"
"Oct 15, 2024",188.05,191.08,187.87,188.07,188.07,-0.17%,"461,319"
"Oct 14, 2024",188.54,189.46,187.63,188.39,188.39,0.15%,"440,036"
"Oct 11, 2024",187.34,188.44,185.99,188.10,188.10,0.66%,"532,942"
"Oct 10, 2024",185.82,187.24,184.73,186.86,186.86,0.46%,"441,071"
"Oct 9, 2024",185.39,186.63,185.01,186.01,186.01,0.33%,"429,281"
"Oct 8, 2024",184.85,185.83,183.87,185.39,185.39,0.55%,"387,641"
"Oct 7, 2024",186.88,187.16,184.29,184.37,184.37,-1.35%,"545,294"
"Oct 4, 2024",187.54,187.72,185.50,186.90,186.90,0.27%,"356,039"
"Oct 3, 2024",186.72,186.72,184.53,186.40,186.40,-0.72%,"406,152"
"Oct 2, 2024",186.45,188.38,185.76,187.76,187.76,0.33%,"428,699"
"Oct 1, 2024",188.20,188.81,185.45,187.14,187.14,-1.48%,"539,633"
"Sep 30, 2024",190.36,191.53,188.90,189.96,189.96,-0.36%,"572,970"
"Sep 27, 2024",186.74,190.79,186.74,190.64,190.64,2.39%,"586,568"
"Sep 26, 2024",182.78,186.51,182.78,186.19,186.19,2.06%,"707,343"
"Sep 25, 2024",183.88,183.88,182.20,182.44,182.44,-0.78%,"683,950"
"Sep 24, 2024",183.74,185.44,182.58,183.88,183.88,0.73%,"514,084"
"Sep 23, 2024",181.67,183.62,180.88,182.55,182.55,0.73%,"491,441"
"Sep 20, 2024",181.68,182.98,179.78,181.22,181.22,-0.66%,"1,828,336"
"Sep 19, 2024",180.78,184.38,180.67,182.42,182.42,1.76%,"652,109"
"Sep 18, 2024",182.64,183.08,179.10,179.27,179.27,-1.96%,"547,248"
