date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",456.58,462.95,455.83,461.71,461.71,2.38%,"2,168,316"
"Nov 22, 2024",454.30,457.54,449.04,450.97,450.97,0.13%,"1,270,384"
"Nov 21, 2024",454.24,455.43,445.00,450.37,450.37,-0.19%,"1,507,791"
"Nov 20, 2024",448.46,451.76,445.38,451.23,451.23,0.72%,"1,651,184"
"Nov 19, 2024",462.80,463.90,447.14,448.01,448.01,-4.07%,"2,192,552"
"Nov 18, 2024",465.19,468.88,458.05,467.01,467.01,0.28%,"1,129,334"
"Nov 15, 2024",478.56,479.94,458.10,465.70,465.70,-3.77%,"2,581,391"
"Nov 14, 2024",495.62,496.33,483.55,483.96,483.96,-2.15%,"1,231,557"
"Nov 13, 2024",491.34,498.25,491.03,494.61,494.61,0.94%,"1,079,483"
"Nov 12, 2024",503.00,508.04,489.02,490.00,490.00,-2.34%,"1,364,593"
"Nov 11, 2024",518.27,518.35,500.13,501.72,501.72,-2.91%,"1,335,553"
"Nov 8, 2024",507.17,519.88,504.94,516.74,516.74,2.84%,"1,259,505"
"Nov 7, 2024",493.70,504.31,486.64,502.45,502.45,1.78%,"992,325"
"Nov 6, 2024",505.35,506.65,485.29,493.64,493.64,-1.25%,"1,648,744"
"Nov 5, 2024",483.00,503.21,474.00,499.88,499.88,5.73%,"1,723,251"
"Nov 4, 2024",473.91,475.48,468.77,472.80,472.80,0.36%,"1,247,982"
"Nov 1, 2024",471.06,475.73,463.15,471.12,471.12,-1.02%,"1,352,751"
"Oct 31, 2024",471.58,477.70,468.98,475.98,475.98,0.19%,"1,376,037"
"Oct 30, 2024",470.44,475.46,468.47,475.08,475.08,1.00%,"721,967"
"Oct 29, 2024",476.33,478.06,469.62,470.36,470.36,-1.26%,"999,658"
"Oct 28, 2024",477.95,478.32,474.69,476.37,476.37,-0.28%,"501,452"
"Oct 25, 2024",477.20,480.41,475.05,477.70,477.70,1.23%,"1,019,702"
"Oct 24, 2024",473.35,477.84,471.87,471.91,471.91,0.40%,"674,034"
"Oct 23, 2024",474.47,477.47,464.78,470.05,470.05,-1.02%,"991,373"
"Oct 22, 2024",479.43,482.87,473.58,474.91,474.91,-0.67%,"1,132,762"
"Oct 21, 2024",480.17,487.88,477.66,478.09,478.09,-1.02%,"689,638"
