date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",166.00,166.38,152.72,154.14,154.14,-4.80%,"7,673,782"
"Nov 22, 2024",168.67,168.67,158.12,161.92,161.92,-2.81%,"6,993,281"
"Nov 21, 2024",157.74,167.60,156.86,166.61,166.61,7.75%,"7,868,541"
"Nov 20, 2024",155.77,157.72,151.26,154.63,154.63,-0.15%,"4,446,714"
"Nov 19, 2024",144.14,154.95,143.13,154.86,154.86,5.61%,"6,372,412"
"Nov 18, 2024",142.72,152.64,142.72,146.63,146.63,3.15%,"5,753,270"
"Nov 15, 2024",137.60,142.60,137.03,142.15,142.15,2.67%,"3,562,142"
"Nov 14, 2024",142.23,143.41,138.17,138.46,138.46,-2.58%,"3,230,222"
"Nov 13, 2024",145.43,147.60,141.31,142.12,142.12,-0.03%,"3,863,155"
"Nov 12, 2024",143.92,145.98,137.24,142.16,142.16,-2.50%,"5,314,726"
"Nov 11, 2024",146.28,149.80,141.95,145.80,145.80,2.75%,"7,850,401"
"Nov 8, 2024",135.24,144.77,135.24,141.90,141.90,4.55%,"9,826,064"
"Nov 7, 2024",138.11,143.79,130.02,135.73,135.73,7.65%,"14,877,347"
"Nov 6, 2024",125.17,127.00,121.07,126.09,126.09,3.44%,"7,411,320"
"Nov 5, 2024",116.31,122.27,115.89,121.90,121.90,5.32%,"6,438,761"
"Nov 4, 2024",117.69,118.80,111.50,115.74,115.74,-3.15%,"10,742,732"
"Nov 1, 2024",124.60,126.34,119.09,119.51,119.51,-4.36%,"5,979,565"
"Oct 31, 2024",124.31,125.73,122.42,124.96,124.96,0.68%,"4,073,477"
"Oct 30, 2024",127.05,128.46,121.50,124.11,124.11,-2.01%,"4,166,528"
"Oct 29, 2024",125.58,127.86,124.34,126.66,126.66,-0.88%,"4,738,626"
"Oct 28, 2024",125.21,128.62,123.97,127.78,127.78,3.02%,"5,213,272"
"Oct 25, 2024",127.35,128.35,123.10,124.03,124.03,-1.23%,"3,792,453"
