date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",43.34,44.05,43.31,43.98,43.98,1.92%,"28,365,883"
"Nov 22, 2024",42.60,43.34,42.34,43.15,43.15,1.53%,"17,017,421"
"Nov 21, 2024",42.22,42.75,42.01,42.50,42.50,0.66%,"12,534,057"
"Nov 20, 2024",42.00,42.28,41.75,42.22,42.22,0.69%,"14,706,508"
"Nov 19, 2024",42.21,42.23,41.80,41.93,41.93,-0.76%,"10,520,611"
"Nov 18, 2024",41.67,42.58,41.67,42.25,42.25,1.44%,"17,409,010"
"Nov 15, 2024",40.80,41.77,40.80,41.65,41.65,1.91%,"21,482,452"
"Nov 14, 2024",41.14,41.26,40.86,40.87,40.87,-0.66%,"13,636,571"
"Nov 13, 2024",40.40,41.40,40.31,41.14,41.14,1.83%,"19,953,509"
"Nov 12, 2024",40.50,40.60,40.07,40.40,40.40,-0.10%,"16,984,576"
"Nov 11, 2024",40.47,40.88,40.41,40.44,40.44,-0.10%,"17,116,413"
"Nov 8, 2024",40.74,40.85,40.42,40.48,40.48,-0.22%,"21,305,883"
"Nov 7, 2024",41.08,41.19,40.51,40.57,40.57,-1.43%,"24,225,531"
"Nov 6, 2024",41.44,41.67,40.93,41.16,41.16,-0.24%,"21,957,071"
"Nov 5, 2024",41.01,41.27,40.83,41.26,41.26,0.49%,"12,322,777"
"Nov 4, 2024",41.65,41.77,40.90,41.06,41.06,-0.73%,"14,760,870"
"Nov 1, 2024",42.12,42.35,41.30,41.36,41.36,-1.83%,"16,682,363"
"Oct 31, 2024",41.26,42.65,41.25,42.13,42.13,2.06%,"31,077,938"
"Oct 30, 2024",41.33,41.51,41.12,41.28,41.28,-0.12%,"16,372,594"
"Oct 29, 2024",41.32,41.68,41.29,41.33,41.33,-0.70%,"15,072,322"
"Oct 28, 2024",41.45,41.78,41.39,41.62,41.62,0.58%,"13,574,976"
"Oct 25, 2024",41.90,42.18,41.37,41.38,41.38,-1.15%,"19,717,360"
"Oct 24, 2024",42.38,42.45,41.64,41.86,41.86,-2.33%,"23,506,361"
"Oct 23, 2024",41.86,42.90,41.76,42.86,42.86,3.28%,"27,174,732"
"Oct 22, 2024",41.90,42.64,40.75,41.50,41.50,-5.03%,"42,576,288"
"Oct 21, 2024",44.05,44.20,43.60,43.70,43.70,-0.66%,"18,760,023"
"Oct 18, 2024",43.83,44.17,43.67,43.99,43.99,0.32%,"13,058,370"
"Oct 17, 2024",43.88,44.00,43.53,43.85,43.85,-0.14%,"10,539,459"
"Oct 16, 2024",43.74,44.10,43.66,43.91,43.91,0.39%,"9,458,993"
"Oct 15, 2024",43.47,43.97,43.17,43.74,43.74,1.27%,"15,444,457"
"Oct 14, 2024",43.00,43.29,42.89,43.19,43.19,0.44%,"9,923,489"
"Oct 11, 2024",43.15,43.24,42.80,43.00,43.00,0.12%,"10,658,662"
"Oct 10, 2024",43.44,43.67,42.81,42.95,42.95,-2.63%,"12,352,803"
"Oct 9, 2024",44.06,44.25,43.81,44.11,43.43,0.23%,"12,614,166"
"Oct 8, 2024",44.00,44.15,43.69,44.01,43.33,0.39%,"10,855,107"
"Oct 7, 2024",44.08,44.14,43.77,43.84,43.16,-0.77%,"12,884,971"
"Oct 4, 2024",43.77,44.25,43.55,44.18,43.49,-0.76%,"14,537,280"
"Oct 3, 2024",44.93,44.96,44.39,44.52,43.83,-1.18%,"12,258,416"
"Oct 2, 2024",45.13,45.28,44.87,45.05,44.35,-0.35%,"12,040,785"
"Oct 1, 2024",44.96,45.24,44.66,45.21,44.51,0.67%,"17,536,350"
"Sep 30, 2024",45.13,45.36,44.79,44.91,44.21,0.04%,"13,516,985"
"Sep 27, 2024",44.72,45.05,44.49,44.89,44.19,0.61%,"15,659,277"
"Sep 26, 2024",44.60,44.88,44.36,44.62,43.93,0.16%,"15,779,600"
"Sep 25, 2024",44.80,44.88,44.42,44.55,43.86,-0.25%,"21,990,145"
"Sep 24, 2024",44.21,44.79,44.13,44.66,43.97,0.90%,"15,153,967"
"Sep 23, 2024",44.35,44.53,43.95,44.26,43.57,-0.16%,"18,083,217"
"Sep 20, 2024",43.78,44.47,43.65,44.33,43.64,0.89%,"52,671,859"
"Sep 19, 2024",43.96,43.97,43.33,43.94,43.26,0.14%,"23,097,155"
"Sep 18, 2024",44.10,44.50,43.78,43.88,43.20,-0.45%,"16,897,926"
"Sep 17, 2024",44.75,44.75,43.92,44.08,43.40,-2.04%,"18,769,603"
"Sep 16, 2024",44.61,45.05,44.46,45.00,44.30,1.28%,"24,714,535"
"Sep 13, 2024",43.93,44.47,43.62,44.43,43.74,1.30%,"20,029,688"
"Sep 12, 2024",43.50,43.88,43.43,43.86,43.18,0.14%,"18,399,827"
"Sep 11, 2024",43.51,43.82,42.94,43.80,43.12,0.34%,"22,395,462"
"Sep 10, 2024",42.79,43.69,42.38,43.65,42.97,2.15%,"36,980,411"
"Sep 9, 2024",41.26,42.78,41.26,42.73,42.07,3.84%,"27,850,290"
"Sep 6, 2024",41.36,41.79,41.13,41.15,40.51,-0.39%,"18,100,349"
"Sep 5, 2024",41.31,41.81,40.90,41.31,40.67,-0.41%,"28,199,755"
"Sep 4, 2024",43.00,43.27,41.20,41.48,40.84,-3.38%,"31,085,049"
"Sep 3, 2024",41.96,42.93,41.92,42.93,42.26,2.75%,"23,319,942"
"Aug 30, 2024",41.30,41.89,41.17,41.78,41.13,1.28%,"20,009,887"
"Aug 29, 2024",41.54,41.57,41.14,41.25,40.61,-0.58%,"17,338,130"
"Aug 28, 2024",41.49,41.71,41.36,41.49,40.85,0.10%,"12,732,723"
"Aug 27, 2024",41.55,41.64,41.18,41.45,40.81,-0.10%,"9,778,154"
"Aug 26, 2024",41.37,41.74,41.24,41.49,40.85,0.68%,"10,309,480"
"Aug 23, 2024",40.99,41.23,40.92,41.21,40.57,0.83%,"11,757,332"
"Aug 22, 2024",41.10,41.16,40.61,40.87,40.24,-0.44%,"13,529,599"
"Aug 21, 2024",40.91,41.07,40.73,41.05,40.41,0.49%,"13,683,356"
"Aug 20, 2024",40.66,40.96,40.63,40.85,40.22,0.27%,"8,784,009"
"Aug 19, 2024",40.63,40.86,40.56,40.74,40.11,0.32%,"9,401,416"
"Aug 16, 2024",40.10,40.62,40.06,40.61,39.98,1.42%,"13,377,523"
"Aug 15, 2024",40.84,40.92,40.00,40.04,39.42,-2.10%,"17,489,607"
"Aug 14, 2024",40.60,41.10,40.49,40.90,40.27,0.29%,"10,931,096"
"Aug 13, 2024",40.65,40.80,40.36,40.78,40.15,0.62%,"15,349,360"
"Aug 12, 2024",40.95,41.00,40.31,40.53,39.90,-0.54%,"11,098,961"
