date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",67.10,69.93,67.06,69.43,69.43,4.51%,"8,819,009"
"Nov 22, 2024",66.41,66.82,65.84,66.43,66.43,0.83%,"5,180,924"
"Nov 21, 2024",64.47,66.51,63.90,65.88,65.88,3.20%,"4,039,511"
"Nov 20, 2024",65.65,65.68,62.82,63.84,63.84,-2.22%,"3,827,857"
"Nov 19, 2024",63.99,65.41,63.69,65.29,65.29,1.10%,"2,866,602"
"Nov 18, 2024",62.85,64.68,62.59,64.58,64.58,2.83%,"3,629,176"
"Nov 15, 2024",62.45,63.12,62.30,62.80,62.80,-0.66%,"3,502,102"
"Nov 14, 2024",62.75,63.69,62.72,63.22,63.22,0.78%,"3,631,339"
"Nov 13, 2024",63.75,63.75,62.30,62.73,62.73,-1.92%,"4,532,293"
"Nov 12, 2024",66.20,66.51,63.05,63.96,63.96,-5.08%,"8,477,220"
"Nov 11, 2024",70.07,70.14,67.28,67.38,67.38,-3.20%,"4,453,125"
"Nov 8, 2024",70.00,70.44,69.18,69.61,69.61,-1.18%,"3,517,578"
"Nov 7, 2024",70.50,71.23,69.70,70.44,70.44,0.76%,"3,767,689"
"Nov 6, 2024",68.86,70.19,68.26,69.91,69.91,4.61%,"5,724,503"
"Nov 5, 2024",65.50,67.13,65.50,66.83,66.83,2.47%,"4,173,262"
"Nov 4, 2024",65.65,66.49,65.11,65.22,65.22,-1.00%,"2,705,047"
"Nov 1, 2024",65.75,67.11,65.60,65.88,65.88,0.87%,"3,824,525"
"Oct 31, 2024",66.51,67.46,65.00,65.31,65.31,-2.55%,"4,572,078"
"Oct 30, 2024",67.78,69.22,66.97,67.02,67.02,-1.87%,"4,689,152"
"Oct 29, 2024",69.86,70.00,67.76,68.30,68.30,-2.02%,"6,251,064"
"Oct 28, 2024",69.61,71.12,68.27,69.71,69.71,0.37%,"7,901,963"
"Oct 25, 2024",72.59,73.50,69.32,69.45,69.45,4.72%,"17,644,446"
"Oct 24, 2024",67.31,67.54,66.20,66.32,66.32,-0.44%,"8,803,145"
"Oct 23, 2024",67.12,67.79,65.93,66.61,66.61,-1.70%,"5,476,340"
"Oct 22, 2024",66.81,68.17,65.96,67.76,67.76,0.74%,"6,289,348"
"Oct 21, 2024",66.67,67.66,66.07,67.26,67.26,0.34%,"5,074,575"
