date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",137.79,138.52,135.69,135.75,135.75,-1.57%,"9,475,131"
"Nov 22, 2024",138.82,139.34,137.30,137.91,137.91,0.02%,"1,619,166"
"Nov 21, 2024",137.27,138.34,136.82,137.88,137.88,0.35%,"1,831,042"
"Nov 20, 2024",137.56,138.47,137.16,137.40,137.40,-0.56%,"1,720,093"
"Nov 19, 2024",137.11,138.59,136.42,138.18,138.18,0.85%,"1,652,566"
"Nov 18, 2024",135.20,137.21,135.20,137.01,137.01,0.73%,"2,330,702"
"Nov 15, 2024",133.91,136.25,133.81,136.02,136.02,1.19%,"1,994,313"
"Nov 14, 2024",134.64,135.31,133.26,134.42,134.42,-0.39%,"2,215,529"
"Nov 13, 2024",136.63,137.31,134.78,134.95,134.95,-0.74%,"3,404,843"
"Nov 12, 2024",137.58,137.97,135.90,135.96,135.29,-1.21%,"2,377,007"
"Nov 11, 2024",138.20,138.79,136.90,137.63,136.95,-0.41%,"2,868,476"
"Nov 8, 2024",138.00,140.19,137.91,138.20,137.52,0.93%,"2,485,014"
"Nov 7, 2024",133.91,137.52,133.46,136.92,136.24,2.43%,"2,020,787"
"Nov 6, 2024",136.00,136.00,131.21,133.67,133.01,-1.07%,"2,928,677"
"Nov 5, 2024",133.70,135.17,133.05,135.12,134.45,0.60%,"2,355,797"
"Nov 4, 2024",133.67,134.88,133.36,134.31,133.65,0.78%,"2,131,758"
"Nov 1, 2024",135.54,136.67,133.15,133.27,132.61,-1.19%,"2,217,140"
"Oct 31, 2024",137.38,138.62,134.63,134.88,134.21,-2.58%,"3,980,892"
"Oct 30, 2024",137.46,139.80,136.95,138.45,137.77,0.81%,"3,679,268"
"Oct 29, 2024",133.62,137.73,133.40,137.34,136.66,5.18%,"4,160,371"
"Oct 28, 2024",130.79,131.54,129.93,130.57,129.93,0.28%,"2,282,516"
"Oct 25, 2024",132.40,132.66,130.13,130.20,129.56,-1.39%,"1,837,117"
"Oct 24, 2024",131.44,132.45,131.10,132.04,131.39,0.20%,"1,197,216"
"Oct 23, 2024",129.91,132.27,129.67,131.77,131.12,1.29%,"1,676,585"
"Oct 22, 2024",129.48,130.70,129.25,130.09,129.45,0.02%,"1,416,303"
"Oct 21, 2024",131.95,132.54,129.78,130.06,129.42,-1.65%,"2,416,612"
"Oct 18, 2024",131.42,132.27,130.72,132.24,131.59,1.15%,"2,187,176"
"Oct 17, 2024",130.80,131.01,130.00,130.74,130.09,0.30%,"1,971,538"
"Oct 16, 2024",129.20,130.75,128.82,130.35,129.71,0.85%,"1,560,657"
"Oct 15, 2024",128.48,130.04,128.10,129.25,128.61,1.29%,"2,442,825"
"Oct 14, 2024",126.17,127.91,125.72,127.60,126.97,1.93%,"2,195,789"
"Oct 11, 2024",124.34,125.31,123.60,125.18,124.56,1.68%,"1,758,323"
"Oct 10, 2024",124.36,124.45,122.34,123.11,122.50,-0.99%,"1,722,176"
"Oct 9, 2024",124.80,124.87,123.24,124.34,123.73,-0.34%,"2,413,691"
"Oct 8, 2024",124.50,125.00,123.82,124.77,124.15,0.40%,"2,092,230"
"Oct 7, 2024",124.91,125.53,123.99,124.27,123.66,-1.03%,"2,857,726"
"Oct 4, 2024",125.32,125.90,124.54,125.56,124.94,-0.71%,"1,966,641"
"Oct 3, 2024",127.34,127.77,126.22,126.46,125.84,-0.45%,"1,702,534"
"Oct 2, 2024",126.42,127.97,126.12,127.03,126.40,-0.43%,"2,047,391"
"Oct 1, 2024",128.31,128.50,126.91,127.58,126.95,-0.35%,"1,981,784"
"Sep 30, 2024",126.84,128.03,126.20,128.03,127.40,0.65%,"3,515,441"
"Sep 27, 2024",127.35,127.52,126.21,127.20,126.57,0.51%,"2,286,015"
"Sep 26, 2024",128.92,129.08,126.11,126.55,125.93,-1.96%,"3,375,973"
"Sep 25, 2024",128.31,129.54,128.27,129.08,128.44,1.16%,"2,777,826"
"Sep 24, 2024",127.12,128.39,126.85,127.60,126.97,-0.77%,"2,389,673"
"Sep 23, 2024",125.83,128.71,125.50,128.59,127.96,2.65%,"2,410,175"
"Sep 20, 2024",123.98,126.30,123.05,125.27,124.65,-0.10%,"10,565,683"
"Sep 19, 2024",127.66,128.46,124.49,125.39,124.77,-1.79%,"3,091,307"
"Sep 18, 2024",127.64,128.72,126.78,127.67,127.04,0.16%,"2,729,270"
"Sep 17, 2024",128.95,129.56,127.06,127.46,126.83,-1.33%,"2,110,315"
"Sep 16, 2024",130.97,131.31,129.10,129.18,128.54,-0.44%,"2,199,404"
"Sep 13, 2024",129.05,129.87,128.28,129.75,129.11,0.71%,"2,100,052"
"Sep 12, 2024",128.03,128.93,127.05,128.83,128.19,0.13%,"3,055,662"
"Sep 11, 2024",128.07,128.78,126.69,128.66,128.02,-0.28%,"3,995,033"
"Sep 10, 2024",127.88,129.11,126.33,129.02,128.38,1.33%,"2,506,289"
"Sep 9, 2024",124.62,127.47,124.47,127.33,126.70,2.19%,"3,460,214"
"Sep 6, 2024",123.86,124.83,123.00,124.60,123.98,0.48%,"2,457,052"
"Sep 5, 2024",125.18,125.50,123.64,124.00,123.39,-0.39%,"2,608,259"
"Sep 4, 2024",122.25,124.88,122.18,124.48,123.87,1.98%,"4,311,781"
"Sep 3, 2024",120.23,122.36,120.23,122.06,121.46,1.14%,"2,888,971"
"Aug 30, 2024",120.92,121.70,119.96,120.68,120.08,0.11%,"7,190,752"
"Aug 29, 2024",120.99,121.25,119.93,120.55,119.95,-0.43%,"2,011,946"
"Aug 28, 2024",120.39,121.48,120.38,121.07,120.47,0.67%,"2,948,838"
"Aug 27, 2024",118.64,120.79,118.42,120.26,119.67,0.86%,"2,356,016"
"Aug 26, 2024",119.51,120.22,118.87,119.24,118.65,-0.11%,"1,399,201"
"Aug 23, 2024",118.10,119.50,118.01,119.37,118.78,1.32%,"2,221,113"
"Aug 22, 2024",116.50,117.88,116.50,117.82,117.24,1.28%,"1,668,704"
"Aug 21, 2024",116.79,117.23,116.29,116.33,115.76,-0.09%,"3,015,997"
"Aug 20, 2024",115.74,116.84,115.49,116.43,115.86,0.77%,"1,681,872"
"Aug 19, 2024",116.00,117.00,115.18,115.54,114.97,-0.33%,"1,681,877"
"Aug 16, 2024",116.32,116.46,115.33,115.92,115.35,-0.36%,"3,472,521"
"Aug 15, 2024",117.26,118.48,115.35,116.34,115.77,-1.00%,"2,462,267"
"Aug 14, 2024",117.07,118.63,117.07,117.51,116.93,0.29%,"2,340,413"
"Aug 13, 2024",117.35,117.98,116.57,117.17,116.59,0.47%,"1,740,404"
"Aug 12, 2024",116.95,117.79,115.77,116.62,116.04,-0.66%,"2,116,924"
