date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",31.58,32.58,31.50,32.23,32.23,3.17%,"7,706,006"
"Nov 22, 2024",30.80,31.28,30.65,31.24,31.24,2.09%,"2,514,204"
"Nov 21, 2024",30.62,30.77,30.42,30.60,30.60,-0.23%,"2,763,630"
"Nov 20, 2024",30.63,30.83,30.35,30.67,30.67,-0.03%,"3,593,489"
"Nov 19, 2024",30.81,30.97,30.51,30.68,30.68,-1.10%,"1,639,017"
"Nov 18, 2024",30.82,31.18,30.78,31.02,31.02,0.29%,"1,918,433"
"Nov 15, 2024",30.87,31.08,30.73,30.93,30.93,0.23%,"2,916,637"
"Nov 14, 2024",30.66,31.03,30.66,30.86,30.86,-0.10%,"2,964,966"
"Nov 13, 2024",30.98,31.16,30.80,30.89,30.89,0.68%,"2,429,644"
"Nov 12, 2024",31.11,31.44,30.66,30.68,30.68,-2.14%,"2,898,767"
"Nov 11, 2024",31.78,32.05,31.30,31.35,31.35,-1.69%,"2,581,537"
"Nov 8, 2024",31.70,32.16,31.61,31.89,31.89,0.47%,"2,669,594"
"Nov 7, 2024",31.52,32.05,31.36,31.74,31.74,1.02%,"3,639,573"
"Nov 6, 2024",31.95,32.00,31.01,31.42,31.42,-1.41%,"5,312,497"
"Nov 5, 2024",31.54,31.88,31.38,31.87,31.87,0.50%,"2,459,562"
"Nov 4, 2024",31.28,31.93,31.16,31.71,31.71,1.70%,"2,496,586"
"Nov 1, 2024",31.43,31.67,31.15,31.18,31.18,0.06%,"3,007,024"
"Oct 31, 2024",31.62,31.82,31.12,31.16,31.16,-1.77%,"3,988,067"
"Oct 30, 2024",31.01,31.78,30.89,31.72,31.72,2.72%,"4,218,162"
"Oct 29, 2024",31.56,31.71,30.51,30.88,30.88,-3.35%,"7,199,299"
"Oct 28, 2024",32.05,32.48,31.93,31.95,31.95,0.47%,"2,884,081"
"Oct 25, 2024",31.97,32.24,31.25,31.80,31.80,-1.03%,"4,276,945"
"Oct 24, 2024",32.00,32.14,31.85,32.13,32.13,0.88%,"3,803,877"
"Oct 23, 2024",31.64,31.96,31.52,31.85,31.85,0.63%,"3,412,279"
"Oct 22, 2024",32.11,32.16,31.62,31.65,31.65,-1.98%,"4,820,815"
"Oct 21, 2024",33.01,33.11,32.25,32.29,32.29,-2.33%,"2,221,783"
"Oct 18, 2024",32.85,33.07,32.69,33.06,33.06,0.79%,"2,538,624"
"Oct 17, 2024",33.15,33.24,32.65,32.80,32.80,-1.94%,"2,378,051"
"Oct 16, 2024",33.23,33.57,33.21,33.45,33.45,1.21%,"2,330,977"
"Oct 15, 2024",32.85,33.46,32.76,33.05,33.05,1.41%,"4,209,969"
"Oct 14, 2024",32.87,33.05,32.53,32.59,32.59,-1.33%,"4,762,095"
"Oct 11, 2024",32.77,33.08,32.69,33.03,33.03,1.23%,"2,270,198"
"Oct 10, 2024",32.91,33.02,32.62,32.63,32.63,-1.30%,"2,597,613"
"Oct 9, 2024",33.11,33.23,32.83,33.06,33.06,-0.15%,"5,245,345"
"Oct 8, 2024",32.83,33.18,32.80,33.11,33.11,0.79%,"2,675,341"
"Oct 7, 2024",32.61,32.92,32.35,32.85,32.85,-0.09%,"2,913,336"
"Oct 4, 2024",32.77,33.05,32.48,32.88,32.88,-0.15%,"3,277,098"
"Oct 3, 2024",33.44,33.55,32.85,32.93,32.93,-2.05%,"3,995,870"
"Oct 2, 2024",33.44,33.74,33.32,33.62,33.62,-0.24%,"3,259,340"
"Oct 1, 2024",33.81,33.96,33.32,33.70,33.70,-0.47%,"3,394,126"
"Sep 30, 2024",33.58,34.02,33.58,33.86,33.86,0.33%,"4,767,715"
"Sep 27, 2024",33.35,34.03,33.00,33.75,33.75,1.78%,"4,729,490"
"Sep 26, 2024",33.25,33.54,32.88,33.16,33.16,0.58%,"4,791,224"
"Sep 25, 2024",33.72,33.80,32.92,32.97,32.97,-2.40%,"5,299,117"
"Sep 24, 2024",33.42,33.96,33.34,33.78,33.78,0.69%,"3,528,062"
"Sep 23, 2024",33.43,33.74,33.28,33.55,33.55,0.93%,"3,323,678"
"Sep 20, 2024",33.66,33.66,33.05,33.24,33.24,-1.04%,"7,981,300"
"Sep 19, 2024",33.57,33.88,33.46,33.59,33.59,1.48%,"7,283,477"
"Sep 18, 2024",33.33,33.53,33.00,33.10,33.10,-0.45%,"4,266,883"
"Sep 17, 2024",32.93,33.28,32.71,33.25,33.25,2.28%,"4,597,304"
"Sep 16, 2024",32.61,32.77,32.36,32.51,32.51,0.18%,"2,614,956"
"Sep 13, 2024",31.70,32.48,31.67,32.45,32.45,3.31%,"4,077,823"
"Sep 12, 2024",30.84,31.42,30.84,31.41,31.41,1.78%,"5,749,516"
"Sep 11, 2024",30.44,30.91,30.28,30.86,30.86,-0.10%,"3,742,025"
"Sep 10, 2024",30.31,30.93,30.14,30.89,30.89,2.05%,"3,241,552"
"Sep 9, 2024",30.29,30.42,30.05,30.27,30.27,-0.26%,"3,779,727"
"Sep 6, 2024",30.18,30.63,30.17,30.35,30.35,0.60%,"4,983,630"
"Sep 5, 2024",30.37,30.51,30.15,30.17,30.17,0.07%,"3,838,048"
"Sep 4, 2024",30.25,30.62,30.02,30.15,30.15,-0.43%,"2,533,733"
"Sep 3, 2024",30.22,30.71,30.17,30.28,30.28,-0.69%,"4,106,157"
"Aug 30, 2024",30.49,30.52,30.14,30.49,30.49,-,"5,278,055"
"Aug 29, 2024",30.68,30.78,30.41,30.49,30.29,-0.49%,"2,943,861"
"Aug 28, 2024",30.90,30.95,30.44,30.64,30.44,0.13%,"3,661,954"
"Aug 27, 2024",30.85,30.87,30.58,30.60,30.40,-1.54%,"2,956,221"
"Aug 26, 2024",31.55,31.55,31.01,31.08,30.88,-0.89%,"2,709,610"
"Aug 23, 2024",30.40,31.49,30.37,31.36,31.16,3.64%,"3,294,938"
"Aug 22, 2024",30.40,30.42,30.06,30.26,30.06,-0.49%,"3,398,314"
"Aug 21, 2024",30.19,30.43,29.86,30.41,30.21,1.00%,"3,161,267"
"Aug 20, 2024",30.18,30.25,29.70,30.11,29.91,-0.23%,"3,717,420"
"Aug 19, 2024",29.93,30.19,29.85,30.18,29.98,0.90%,"3,152,530"
"Aug 16, 2024",29.99,30.12,29.69,29.91,29.72,-0.60%,"2,752,885"
"Aug 15, 2024",30.16,30.39,30.00,30.09,29.89,0.23%,"4,131,229"
"Aug 14, 2024",30.39,30.41,30.00,30.02,29.82,-1.02%,"5,567,571"
"Aug 13, 2024",30.32,30.49,30.20,30.33,30.13,0.63%,"3,575,940"
"Aug 12, 2024",30.53,30.56,30.07,30.14,29.94,-1.76%,"3,044,438"
"Aug 9, 2024",31.09,31.24,30.66,30.68,30.48,-1.35%,"3,567,532"
"Aug 8, 2024",31.21,31.33,30.99,31.10,30.90,-0.16%,"2,996,779"
"Aug 7, 2024",31.78,32.15,31.11,31.15,30.95,-1.55%,"3,832,038"
"Aug 6, 2024",31.07,31.98,30.88,31.64,31.43,1.64%,"5,310,757"
"Aug 5, 2024",31.29,31.81,30.75,31.13,30.93,-1.92%,"6,329,927"
"Aug 2, 2024",31.89,32.05,31.43,31.74,31.53,-0.56%,"4,942,172"
"Aug 1, 2024",31.89,32.13,31.55,31.92,31.71,0.50%,"4,652,711"
"Jul 31, 2024",31.64,32.18,31.47,31.76,31.55,-,"4,226,684"
"Jul 30, 2024",31.29,31.97,31.29,31.76,31.55,1.57%,"3,901,252"
"Jul 29, 2024",31.30,31.68,31.05,31.27,31.07,-1.04%,"3,382,247"
"Jul 26, 2024",30.92,31.71,30.10,31.60,31.39,4.26%,"4,898,545"
"Jul 25, 2024",29.99,30.72,29.81,30.31,30.11,1.47%,"3,323,160"
"Jul 24, 2024",30.31,30.38,29.81,29.87,29.68,-1.29%,"3,191,580"
"Jul 23, 2024",30.41,30.49,30.11,30.26,30.06,-1.11%,"2,759,639"
"Jul 22, 2024",30.19,30.65,29.87,30.60,30.40,1.53%,"3,723,041"
"Jul 19, 2024",30.48,30.58,29.87,30.14,29.94,-0.56%,"2,965,064"
"Jul 18, 2024",30.25,30.95,30.15,30.31,30.11,-0.59%,"3,436,771"
