date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",71.75,71.95,71.19,71.60,71.60,0.35%,"3,122,602"
"Nov 22, 2024",71.64,71.79,71.23,71.35,71.35,-0.04%,"2,065,350"
"Nov 21, 2024",70.47,71.43,69.82,71.38,71.38,1.90%,"2,645,011"
"Nov 20, 2024",69.39,70.24,69.35,70.05,70.05,0.69%,"2,439,601"
"Nov 19, 2024",69.88,70.00,69.11,69.57,69.57,-0.53%,"2,268,127"
"Nov 18, 2024",69.52,70.42,69.42,69.94,69.94,0.69%,"2,598,128"
"Nov 15, 2024",68.89,69.90,68.68,69.46,69.46,0.80%,"4,018,542"
"Nov 14, 2024",68.88,69.53,68.48,68.91,68.91,0.38%,"3,347,527"
"Nov 13, 2024",68.67,68.94,68.13,68.65,68.65,0.06%,"4,068,272"
"Nov 12, 2024",68.63,69.35,68.35,68.61,68.61,-0.06%,"5,337,499"
"Nov 11, 2024",67.23,68.82,67.14,68.65,68.65,1.90%,"5,555,993"
"Nov 8, 2024",66.27,67.44,66.21,67.37,67.37,1.77%,"3,859,144"
"Nov 7, 2024",66.38,66.88,66.07,66.20,66.20,-0.44%,"4,185,826"
"Nov 6, 2024",65.85,67.10,65.32,66.49,66.49,0.24%,"5,057,919"
"Nov 5, 2024",65.94,66.44,65.71,66.33,66.33,0.77%,"4,713,540"
"Nov 4, 2024",65.97,66.18,65.27,65.82,65.82,-1.30%,"12,450,772"
"Nov 1, 2024",67.80,68.36,66.60,66.69,66.69,-0.18%,"6,860,953"
"Oct 31, 2024",64.38,67.73,63.64,66.81,66.81,5.96%,"6,805,346"
"Oct 30, 2024",63.35,63.78,62.63,63.05,63.05,-0.46%,"2,894,626"
"Oct 29, 2024",64.30,64.40,63.34,63.34,63.34,-1.77%,"6,475,726"
"Oct 28, 2024",64.44,64.88,64.29,64.48,64.48,0.03%,"4,165,714"
"Oct 25, 2024",65.56,65.76,64.21,64.46,64.46,-1.00%,"7,028,049"
"Oct 24, 2024",64.53,65.20,64.26,65.11,65.11,1.23%,"4,941,016"
"Oct 23, 2024",63.36,64.37,63.25,64.32,64.32,1.01%,"2,338,233"
"Oct 22, 2024",63.24,63.80,63.01,63.68,63.68,0.39%,"2,244,157"
"Oct 21, 2024",64.01,64.12,63.12,63.43,63.43,-1.00%,"2,178,848"
"Oct 18, 2024",63.16,64.68,62.92,64.07,64.07,1.30%,"3,651,774"
"Oct 17, 2024",63.85,63.99,63.05,63.25,63.25,-1.19%,"3,382,558"
"Oct 16, 2024",63.43,64.06,63.31,64.01,64.01,0.91%,"2,590,483"
