date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",400.03,404.32,398.13,400.94,400.94,0.94%,"420,279"
"Nov 22, 2024",394.28,397.84,392.54,397.19,397.19,1.24%,"232,019"
"Nov 21, 2024",386.86,395.14,382.78,392.31,392.31,2.02%,"368,386"
"Nov 20, 2024",384.04,388.43,381.70,384.53,384.53,0.56%,"489,364"
"Nov 19, 2024",380.00,382.94,377.43,382.40,382.40,-0.49%,"324,527"
"Nov 18, 2024",385.30,389.38,382.54,384.28,384.28,-0.42%,"421,719"
"Nov 15, 2024",395.04,395.16,382.12,385.91,385.91,-2.22%,"372,348"
"Nov 14, 2024",400.23,400.91,393.04,394.66,394.66,-1.39%,"314,609"
"Nov 13, 2024",401.07,404.41,399.08,400.23,400.23,-0.61%,"348,120"
"Nov 12, 2024",401.87,405.62,399.59,402.69,402.69,-0.12%,"325,399"
"Nov 11, 2024",400.00,404.69,398.26,403.16,403.16,0.96%,"371,920"
"Nov 8, 2024",396.52,402.15,392.39,399.31,399.31,0.54%,"302,379"
"Nov 7, 2024",394.47,397.64,392.77,397.18,397.18,0.80%,"375,206"
"Nov 6, 2024",403.78,403.78,383.86,394.02,394.02,3.77%,"545,813"
"Nov 5, 2024",375.00,380.83,375.00,379.69,379.69,0.71%,"348,673"
"Nov 4, 2024",385.00,386.22,375.15,377.02,377.02,-1.98%,"480,703"
"Nov 1, 2024",381.97,386.12,381.04,384.64,384.64,0.70%,"523,306"
"Oct 31, 2024",384.49,386.89,379.44,381.97,381.97,-0.50%,"675,860"
"Oct 30, 2024",381.36,385.85,378.42,383.89,383.89,-0.21%,"960,368"
"Oct 29, 2024",394.57,394.57,378.22,384.68,384.68,5.80%,"1,319,500"
"Oct 28, 2024",365.60,367.63,362.59,363.58,363.58,0.97%,"715,233"
"Oct 25, 2024",363.41,365.65,359.37,360.09,360.09,-0.54%,"473,687"
"Oct 24, 2024",370.94,370.94,361.60,362.05,362.05,-1.64%,"384,239"
"Oct 23, 2024",369.95,373.28,366.10,368.09,368.09,-1.05%,"224,095"
"Oct 22, 2024",370.73,373.42,370.42,372.00,372.00,-0.16%,"187,989"
"Oct 21, 2024",373.70,373.82,370.01,372.59,372.59,-0.76%,"232,947"
"Oct 18, 2024",377.49,378.33,373.89,375.45,375.45,0.43%,"222,063"
"Oct 17, 2024",375.11,378.50,373.21,373.84,373.84,-0.44%,"234,965"
"Oct 16, 2024",376.20,379.59,374.38,375.50,375.50,0.05%,"176,878"
"Oct 15, 2024",376.74,380.05,372.89,375.30,375.30,-0.63%,"302,933"
"Oct 14, 2024",374.76,378.78,373.21,377.68,377.68,0.71%,"240,292"
"Oct 11, 2024",370.68,376.59,370.68,375.02,375.02,1.57%,"215,649"
"Oct 10, 2024",369.09,371.32,365.44,369.24,369.24,-1.14%,"311,569"
"Oct 9, 2024",368.97,374.86,367.07,373.50,373.50,1.23%,"323,278"
"Oct 8, 2024",365.33,370.23,364.12,368.97,368.97,1.02%,"236,690"
"Oct 7, 2024",363.99,365.41,360.57,365.24,365.24,-0.40%,"268,479"
"Oct 4, 2024",369.69,370.45,363.32,366.72,366.72,0.78%,"217,094"
"Oct 3, 2024",365.99,368.17,362.62,363.89,363.89,-1.30%,"302,794"
"Oct 2, 2024",363.98,370.90,362.22,368.68,368.68,1.20%,"283,168"
"Oct 1, 2024",369.84,370.25,363.39,364.30,364.30,-1.63%,"359,563"
"Sep 30, 2024",367.08,371.34,367.08,370.32,370.32,0.47%,"217,388"
"Sep 27, 2024",372.30,374.03,368.27,368.60,368.60,-0.71%,"213,572"
"Sep 26, 2024",370.00,375.88,369.27,371.24,371.24,1.72%,"241,987"
"Sep 25, 2024",364.63,367.35,363.40,364.97,364.97,0.15%,"207,140"
"Sep 24, 2024",364.45,365.43,361.32,364.43,364.43,0.56%,"230,125"
"Sep 23, 2024",367.34,367.89,359.30,362.39,362.39,-1.19%,"342,641"
"Sep 20, 2024",362.43,367.56,360.02,366.76,366.76,0.82%,"596,313"
"Sep 19, 2024",360.00,366.30,356.04,363.79,363.79,3.40%,"490,153"
"Sep 18, 2024",354.79,358.76,347.79,351.83,351.83,-0.76%,"337,220"
"Sep 17, 2024",347.07,354.61,345.59,354.52,354.52,3.12%,"539,857"
"Sep 16, 2024",337.24,344.19,335.86,343.79,343.79,1.87%,"241,965"
