symbol,name,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,open,previous_close,days_range,52_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange,employees,website
NVDA,NVIDIA Corporation,141.98,3.48T,96.31B,53.01B,24.53B,2.13,66.57,41.22,$0.04 (0.03%),"Sep 12, 2024","248,500,046",144.87,146.76,140.08 - 145.24,45.01 - 149.77,1.66,Strong Buy,155.82 (+9.75%),"Nov 20, 2024",Semiconductors,Technology,"Jan 22, 1999",NASDAQ,"29,600",https://www.nvidia.com
AAPL,Apple Inc.,225.00,3.40T,391.04B,93.74B,15.12B,6.08,37.01,30.43,$1.00 (0.44%),"Nov 8, 2024","46,862,701",226.40,228.22,224.27 - 226.92,164.08 - 237.49,1.24,Buy,239.78 (+6.57%),"Oct 31, 2024",Consumer Electronics,Technology,"Dec 12, 1980",NASDAQ,"164,000",https://www.apple.com
MSFT,Microsoft Corporation,415.00,3.09T,254.19B,90.51B,7.43B,12.11,34.27,31.34,$3.32 (0.80%),"Nov 21, 2024","28,174,412",419.82,426.89,413.64 - 422.80,362.90 - 468.35,0.90,Strong Buy,503.43 (+21.31%),"Oct 30, 2024",Software - Infrastructure,Technology,"Mar 13, 1986",NASDAQ,"228,000",https://www.microsoft.com
AMZN,"Amazon.com, Inc.",202.61,2.13T,620.13B,49.87B,10.52B,4.68,43.32,34.70,n/a,n/a,"84,811,511",206.76,211.48,199.62 - 207.30,141.50 - 215.90,1.15,Strong Buy,235.83 (+16.4%),"Oct 31, 2024",Internet Retail,Consumer Discretionary,"May 15, 1997",NASDAQ,"1,551,000",https://www.aboutamazon.com
GOOG,Alphabet Inc.,173.89,2.12T,339.86B,94.27B,5.53B,7.53,22.48,19.97,$0.80 (0.46%),"Dec 9, 2024","20,457,705",175.64,177.35,172.75 - 175.88,129.40 - 193.31,1.03,Strong Buy,204.93 (+17.85%),"Oct 29, 2024",Internet Content & Information,Communication Services,"Aug 19, 2004",NASDAQ,"179,582",https://abc.xyz
GOOGL,Alphabet Inc.,172.49,2.11T,339.86B,94.27B,12.24B,7.53,22.89,19.99,$0.80 (0.46%),"Dec 9, 2024","32,469,130",173.73,175.58,171.22 - 174.14,127.90 - 191.75,1.03,Strong Buy,204.93 (+18.81%),"Oct 29, 2024",Internet Content & Information,Communication Services,"Aug 19, 2004",NASDAQ,"181,269",https://abc.xyz
META,"Meta Platforms, Inc.",554.08,1.40T,156.23B,55.54B,2.52B,21.18,26.17,22.69,$2.00 (0.36%),"Sep 16, 2024","17,412,561",571.22,577.16,551.50 - 572.57,313.66 - 602.95,1.21,Strong Buy,632.69 (+14.19%),"Oct 30, 2024",Internet Content & Information,Communication Services,"May 18, 2012",NASDAQ,"72,404",https://investor.fb.com
TSLA,"Tesla, Inc.",320.72,1.03T,97.15B,12.74B,3.21B,3.65,87.93,105.27,n/a,n/a,"113,671,090",310.57,311.18,309.22 - 324.68,138.80 - 358.64,2.29,Hold,228.11 (-28.88%),"Oct 23, 2024",Auto Manufacturers,Consumer Discretionary,"Jun 29, 2010",NASDAQ,"140,473",https://www.tesla.com
BRK.B,Berkshire Hathaway Inc.,470.28,1.01T,369.89B,106.88B,2.16B,49.52,9.49,25.07,n/a,n/a,"4,605,618",466.74,467.70,465.19 - 472.26,350.85 - 484.82,0.87,Buy,498.00 (+5.89%),"Nov 2, 2024",Insurance - Diversified,Financials,1839,NYSE,"396,500",https://www.berkshirehathaway.com
AVGO,Broadcom Inc.,164.84,769.90B,46.82B,5.10B,4.67B,1.10,139.50,27.87,$2.12 (1.29%),"Sep 19, 2024","20,700,535",168.47,170.38,163.44 - 169.14,90.31 - 186.42,1.19,Strong Buy,190.18 (+15.37%),"Dec 12, 2024",Semiconductors,Technology,"Aug 6, 2009",NASDAQ,"20,000",https://www.broadcom.com
JPM,JPMorgan Chase & Co.,245.31,690.63B,162.15B,52.07B,2.82B,17.96,13.65,14.75,$5.00 (2.04%),"Oct 4, 2024","11,464,541",241.46,241.87,241.46 - 246.41,151.54 - 248.00,1.09,Buy,224.67 (-8.41%),"Jan 15, 2025",Banks - Diversified,Financials,1799,NYSE,"309,926",https://www.jpmorganchase.com
WMT,Walmart Inc.,84.25,677.22B,665.04B,15.55B,8.04B,1.92,43.90,32.87,$0.83 (0.99%),"Dec 13, 2024","17,324,441",84.53,84.47,83.94 - 84.78,49.85 - 85.79,0.52,Strong Buy,85.63 (+1.64%),"Nov 19, 2024",Discount Stores,Consumer Staples,"Oct 1, 1970",NYSE,"2,100,000",https://corporate.walmart.com
LLY,Eli Lilly and Company,746.20,671.90B,40.86B,8.37B,900.43M,9.25,80.68,33.68,$5.20 (0.70%),"Nov 15, 2024","6,383,606",775.19,784.93,744.20 - 776.74,561.65 - 972.53,0.43,Strong Buy,962.05 (+28.93%),"Oct 30, 2024",Drug Manufacturers - General,Healthcare,1876,NYSE,"43,000",https://www.lilly.com
V,Visa Inc.,309.64,606.81B,35.93B,19.46B,1.96B,9.73,31.82,27.64,$2.36 (0.76%),"Nov 12, 2024","3,880,548",307.56,308.25,306.70 - 310.72,245.60 - 312.44,0.95,Buy,320.56 (+3.53%),"Oct 29, 2024",Credit Services,Financials,"Mar 19, 2008",NYSE,"28,800",https://www.visa.com
UNH,UnitedHealth Group Incorporated,592.23,545.02B,393.90B,14.32B,920.28M,15.38,38.50,20.20,$8.40 (1.42%),"Sep 16, 2024","3,420,723",591.92,593.15,590.00 - 598.93,436.38 - 630.73,0.59,Strong Buy,606.32 (+2.38%),"Jan 10, 2025",Healthcare Plans,Healthcare,"Oct 17, 1984",NYSE,"440,000",https://www.unitedhealthgroup.com
XOM,Exxon Mobil Corporation,119.31,524.38B,343.82B,33.70B,4.40B,8.03,14.87,15.19,$3.96 (3.32%),"Nov 14, 2024","19,043,073",120.40,120.56,119.13 - 121.24,95.77 - 126.34,0.88,Buy,130.22 (+9.14%),"Nov 1, 2024",Oil & Gas Integrated,Energy,1870,NYSE,"61,500",https://corporate.exxonmobil.com
ORCL,Oracle Corporation,183.74,509.16B,53.82B,10.98B,2.77B,3.88,47.35,28.57,$1.60 (0.87%),"Oct 10, 2024","7,671,124",184.52,187.05,182.33 - 185.80,99.26 - 191.77,1.01,Buy,175.13 (-4.69%),"Dec 9, 2024",Software - Infrastructure,Technology,"Mar 12, 1986",NYSE,"159,000",https://www.oracle.com
MA,Mastercard Incorporated,521.89,479.01B,27.23B,12.32B,917.83M,13.23,39.45,33.15,$2.64 (0.51%),"Oct 9, 2024","2,408,086",518.53,520.40,518.00 - 523.39,397.91 - 534.03,1.10,Strong Buy,552.75 (+5.91%),"Oct 31, 2024",Credit Services,Financials,"May 25, 2006",NYSE,"33,400",https://www.mastercard.com
HD,"The Home Depot, Inc.",408.18,405.44B,154.60B,14.61B,993.29M,14.72,27.73,26.17,$9.00 (2.21%),"Aug 29, 2024","2,409,519",402.90,405.72,402.90 - 408.91,302.34 - 421.56,1.01,Buy,423.96 (+3.87%),"Nov 12, 2024",Home Improvement Retail,Consumer Discretionary,"Sep 22, 1981",NYSE,"463,100",https://www.homedepot.com
COST,Costco Wholesale Corporation,907.07,401.90B,254.45B,7.37B,443.07M,16.56,54.77,50.85,$4.64 (0.51%),"Nov 1, 2024","2,260,666",917.93,923.89,905.56 - 920.55,574.06 - 962.00,0.79,Buy,897.37 (-1.07%),"Dec 12, 2024",Discount Stores,Consumer Staples,"Sep 22, 1993",NASDAQ,"316,000",https://www.costco.com
PG,The Procter & Gamble Company,169.54,399.27B,83.91B,14.03B,2.36B,5.80,29.24,24.04,$4.03 (2.38%),"Oct 18, 2024","7,127,827",167.94,167.08,166.89 - 170.57,142.50 - 177.94,0.41,Buy,177.00 (+4.4%),"Oct 18, 2024",Household & Personal Products,Consumer Staples,1837,NYSE,"107,000",https://www.pginvestor.com
JNJ,Johnson & Johnson,154.00,370.77B,87.70B,14.68B,2.41B,6.04,25.34,15.25,$4.96 (3.22%),"Nov 26, 2024","11,299,401",150.90,151.87,150.90 - 154.43,143.13 - 168.85,0.52,Buy,175.64 (+14.05%),"Oct 15, 2024",Drug Manufacturers - General,Healthcare,"Sep 24, 1944",NYSE,"131,900",https://www.jnj.com
BAC,Bank of America Corporation,46.75,358.71B,94.63B,21.94B,7.67B,2.75,17.02,13.35,$1.04 (2.23%),"Dec 6, 2024","30,691,305",45.62,45.90,45.62 - 46.84,29.32 - 46.84,1.32,Buy,44.54 (-4.73%),"Oct 15, 2024",Banks - Diversified,Financials,1784,NYSE,"213,000",https://www.bankofamerica.com
