symbol,name,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,open,previous_close,days_range,52_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange,employees,website
AAPL,Apple Inc.,235.06,3.55T,391.04B,93.74B,15.12B,6.08,38.66,31.79,$1.00 (0.43%),"Nov 8, 2024","42,174,417",233.33,232.87,233.33 - 235.57,164.08 - 237.49,1.24,Buy,239.78 (+2.01%),"Oct 31, 2024",Consumer Electronics,Technology,"Dec 12, 1980",NASDAQ,"164,000",https://www.apple.com
NVDA,NVIDIA Corporation,136.92,3.35T,113.27B,63.07B,24.49B,2.53,54.07,34.73,$0.04 (0.03%),"Sep 12, 2024","182,665,302",137.70,136.02,135.67 - 139.30,45.01 - 152.89,1.66,Strong Buy,167.85 (+22.59%),"Nov 20, 2024",Semiconductors,Technology,"Jan 22, 1999",NASDAQ,"29,600",https://www.nvidia.com
MSFT,Microsoft Corporation,427.99,3.18T,254.19B,90.51B,7.43B,12.11,35.34,32.36,$3.32 (0.78%),"Nov 21, 2024","20,946,917",419.59,418.79,418.93 - 429.04,362.90 - 468.35,0.90,Strong Buy,503.43 (+17.63%),"Oct 30, 2024",Software - Infrastructure,Technology,"Mar 13, 1986",NASDAQ,"228,000",https://www.microsoft.com
AMZN,"Amazon.com, Inc.",207.86,2.19T,620.13B,49.87B,10.52B,4.68,44.44,35.60,n/a,n/a,"39,667,029",201.90,201.45,201.79 - 208.00,142.81 - 215.90,1.15,Strong Buy,236.62 (+13.84%),"Oct 31, 2024",Internet Retail,Consumer Discretionary,"May 15, 1997",NASDAQ,"1,551,000",https://www.aboutamazon.com
GOOGL,Alphabet Inc.,169.12,2.07T,339.86B,94.27B,12.24B,7.53,22.45,19.62,$0.80 (0.47%),"Dec 9, 2024","18,289,539",167.63,167.65,167.63 - 169.82,127.90 - 191.75,1.03,Strong Buy,206.83 (+22.3%),"Oct 29, 2024",Internet Content & Information,Communication Services,"Aug 19, 2004",NASDAQ,"181,269",https://abc.xyz
GOOG,Alphabet Inc.,170.62,2.06T,339.86B,94.27B,5.53B,7.53,22.64,19.79,$0.80 (0.47%),"Dec 9, 2024","13,650,884",169.49,169.43,169.43 - 171.50,129.40 - 193.31,1.03,Strong Buy,204.93 (+20.11%),"Oct 29, 2024",Internet Content & Information,Communication Services,"Aug 19, 2004",NASDAQ,"179,582",https://abc.xyz
META,"Meta Platforms, Inc.",573.54,1.45T,156.23B,55.54B,2.52B,21.18,27.08,23.48,$2.00 (0.35%),"Sep 16, 2024","9,977,358",566.00,565.11,565.21 - 577.50,313.66 - 602.95,1.21,Strong Buy,633.29 (+10.42%),"Oct 30, 2024",Internet Content & Information,Communication Services,"May 18, 2012",NASDAQ,"72,404",https://investor.fb.com
TSLA,"Tesla, Inc.",338.23,1.09T,97.15B,12.74B,3.21B,3.65,92.73,110.78,n/a,n/a,"59,138,970",341.00,338.59,335.66 - 346.96,138.80 - 361.93,2.29,Hold,228.97 (-32.3%),"Oct 23, 2024",Auto Manufacturers,Consumer Discretionary,"Jun 29, 2010",NASDAQ,"140,473",https://www.tesla.com
BRK.B,Berkshire Hathaway Inc.,478.50,1.03T,369.89B,106.88B,2.16B,49.52,9.66,24.41,n/a,n/a,"2,357,037",478.20,477.43,472.86 - 479.40,350.85 - 484.82,0.87,Buy,498.00 (+4.08%),"Nov 2, 2024",Insurance - Diversified,Financials,1839,NYSE,"396,500",https://www.berkshirehathaway.com
AVGO,Broadcom Inc.,164.74,769.43B,46.82B,5.10B,4.67B,1.10,150.16,27.85,$2.12 (1.29%),"Sep 19, 2024","15,112,970",164.60,164.82,162.69 - 166.37,90.31 - 186.42,1.19,Strong Buy,190.18 (+15.44%),"Dec 12, 2024",Semiconductors,Technology,"Aug 6, 2009",NASDAQ,"20,000",https://www.broadcom.com
WMT,Walmart Inc.,91.31,733.97B,673.82B,19.68B,8.04B,2.42,37.73,34.49,$0.83 (0.91%),"Dec 13, 2024","15,591,349",89.89,89.50,89.84 - 91.88,49.85 - 91.88,0.52,Strong Buy,92.38 (+1.17%),"Nov 19, 2024",Discount Stores,Consumer Staples,"Oct 1, 1970",NYSE,"2,100,000",https://corporate.walmart.com
LLY,Eli Lilly and Company,789.32,710.73B,40.86B,8.37B,900.43M,9.25,85.34,35.63,$5.20 (0.66%),"Nov 15, 2024","6,091,885",785.20,755.00,773.95 - 807.00,561.65 - 972.53,0.43,Strong Buy,962.05 (+21.88%),"Oct 30, 2024",Drug Manufacturers - General,Healthcare,1876,NYSE,"43,000",https://www.lilly.com
JPM,JPMorgan Chase & Co.,249.97,703.75B,162.15B,52.07B,2.82B,17.96,13.91,15.01,$5.00 (2.00%),"Oct 4, 2024","5,326,207",250.49,250.29,248.34 - 251.00,152.72 - 254.31,1.09,Buy,226.00 (-9.59%),"Jan 15, 2025",Banks - Diversified,Financials,1799,NYSE,"309,926",https://www.jpmorganchase.com
