date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",496.00,502.41,495.46,499.61,499.61,0.02%,"1,961,731"
"Nov 18, 2024",505.00,505.51,497.69,499.51,499.51,-0.77%,"2,259,651"
"Nov 15, 2024",520.30,524.50,498.81,503.37,503.37,-5.00%,"4,612,417"
"Nov 14, 2024",530.55,534.64,523.46,529.87,529.87,-0.49%,"3,098,800"
"Nov 13, 2024",523.79,539.92,520.59,532.50,532.50,1.15%,"3,470,174"
"Nov 12, 2024",504.39,528.91,504.27,526.42,526.42,4.35%,"4,125,288"
"Nov 11, 2024",493.60,507.72,493.60,504.48,504.48,1.98%,"3,536,599"
"Nov 8, 2024",503.83,505.00,493.69,494.68,494.68,-1.25%,"2,856,859"
"Nov 7, 2024",510.66,510.66,495.30,500.92,500.92,-0.77%,"2,640,295"
"Nov 6, 2024",492.93,506.21,492.93,504.83,504.83,3.78%,"2,969,855"
"Nov 5, 2024",483.09,486.66,480.47,486.42,486.42,1.05%,"1,588,149"
"Nov 4, 2024",479.03,483.76,477.37,481.35,481.35,-0.30%,"1,955,249"
"Nov 1, 2024",475.41,485.16,475.05,482.80,482.80,0.99%,"2,852,008"
"Oct 31, 2024",486.00,486.05,477.38,478.08,478.08,-1.77%,"2,978,688"
"Oct 30, 2024",482.24,492.20,482.24,486.68,486.68,0.27%,"2,728,573"
"Oct 29, 2024",481.92,487.56,479.33,485.39,485.39,0.90%,"2,089,505"
"Oct 28, 2024",487.65,488.49,480.48,481.04,481.04,-0.55%,"2,302,255"
"Oct 25, 2024",483.42,488.34,482.52,483.72,483.72,0.18%,"2,426,769"
"Oct 24, 2024",486.63,488.47,480.06,482.87,482.87,-0.45%,"2,100,308"
"Oct 23, 2024",492.00,493.83,483.39,485.03,485.03,-1.64%,"2,021,316"
"Oct 22, 2024",496.43,497.34,488.36,493.11,493.11,-0.92%,"2,388,721"
"Oct 21, 2024",494.60,500.65,492.96,497.71,497.71,0.57%,"1,679,657"
"Oct 18, 2024",491.29,499.00,491.05,494.90,494.90,-0.39%,"2,011,121"
"Oct 17, 2024",506.51,507.50,495.23,496.83,496.83,-1.14%,"2,769,241"
"Oct 16, 2024",506.39,506.84,500.25,502.54,502.54,-1.08%,"1,859,116"
"Oct 15, 2024",513.82,517.77,506.80,508.03,508.03,-0.32%,"3,605,675"
"Oct 14, 2024",501.80,514.26,500.41,509.65,509.65,2.87%,"3,411,497"
"Oct 11, 2024",504.78,507.98,494.90,495.42,495.42,-1.62%,"2,992,409"
"Oct 10, 2024",490.54,506.45,489.35,503.57,503.57,1.92%,"2,775,102"
"Oct 9, 2024",495.88,495.88,492.32,494.08,494.08,-0.44%,"2,869,417"
"Oct 8, 2024",492.45,500.00,486.40,496.24,496.24,1.83%,"3,551,609"
"Oct 7, 2024",503.96,504.87,486.40,487.30,487.30,-3.93%,"4,870,534"
"Oct 4, 2024",507.29,508.56,503.59,507.22,507.22,0.68%,"1,949,994"
"Oct 3, 2024",501.02,509.81,498.59,503.80,503.80,-0.40%,"1,921,604"
"Oct 2, 2024",503.87,510.19,502.82,505.81,505.81,0.60%,"1,981,848"
"Oct 1, 2024",517.45,519.00,502.50,502.80,502.80,-2.89%,"3,730,026"
"Sep 30, 2024",513.83,518.47,511.74,517.78,517.78,0.45%,"2,588,151"
"Sep 27, 2024",516.52,516.68,512.30,515.48,515.48,0.02%,"2,718,323"
"Sep 26, 2024",520.51,521.36,512.11,515.38,515.38,-0.49%,"3,282,437"
"Sep 25, 2024",526.02,526.18,516.24,517.90,517.90,-1.18%,"3,211,612"
"Sep 24, 2024",527.72,530.30,521.71,524.07,524.07,-0.72%,"2,842,054"
"Sep 23, 2024",525.71,532.00,524.96,527.87,527.87,1.07%,"2,106,995"
"Sep 20, 2024",526.44,528.63,515.72,522.30,522.30,-0.79%,"6,100,685"
"Sep 19, 2024",518.81,527.48,518.02,526.44,526.44,3.60%,"3,582,532"
"Sep 18, 2024",517.01,517.58,506.49,508.13,508.13,-1.34%,"3,997,267"
"Sep 17, 2024",524.29,527.10,514.58,515.03,515.03,-1.24%,"5,164,089"
"Sep 16, 2024",537.40,537.69,521.26,521.50,521.50,-2.86%,"5,248,205"
"Sep 13, 2024",532.57,540.27,526.60,536.87,536.87,-8.47%,"10,423,510"
"Sep 12, 2024",581.45,587.75,572.98,586.55,586.55,1.06%,"5,605,338"
"Sep 11, 2024",573.01,581.24,559.35,580.38,580.38,1.03%,"2,680,977"
"Sep 10, 2024",576.75,577.80,567.14,574.48,574.48,0.81%,"2,030,076"
"Sep 9, 2024",567.69,574.57,564.44,569.88,569.88,1.15%,"1,997,121"
