date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",470.77,470.77,465.01,468.86,468.86,-0.71%,"3,656,243"
"Nov 18, 2024",470.98,472.67,468.36,472.20,472.20,0.41%,"3,358,434"
"Nov 15, 2024",466.74,472.26,465.19,470.28,470.28,0.55%,"5,817,672"
"Nov 14, 2024",468.81,469.45,466.00,467.70,467.70,-0.09%,"3,777,267"
"Nov 13, 2024",466.41,468.40,464.00,468.10,468.10,0.39%,"2,861,709"
"Nov 12, 2024",467.69,468.42,465.15,466.29,466.29,-0.23%,"4,400,521"
"Nov 11, 2024",466.01,470.51,464.00,467.36,467.36,0.85%,"4,119,111"
"Nov 8, 2024",461.98,466.35,459.50,463.41,463.41,0.71%,"3,541,302"
"Nov 7, 2024",468.27,468.46,460.10,460.13,460.13,-1.87%,"4,237,986"
"Nov 6, 2024",461.00,469.26,459.48,468.90,468.90,5.36%,"6,906,833"
"Nov 5, 2024",442.29,445.23,441.10,445.06,445.06,0.63%,"3,154,357"
"Nov 4, 2024",450.37,450.70,437.90,442.29,442.29,-2.18%,"5,733,184"
"Nov 1, 2024",451.49,455.12,450.70,452.14,452.14,0.27%,"2,971,342"
"Oct 31, 2024",455.19,456.84,450.57,450.92,450.92,-0.89%,"3,660,308"
"Oct 30, 2024",454.67,457.67,453.82,454.96,454.96,0.07%,"2,692,082"
"Oct 29, 2024",458.60,458.92,454.39,454.62,454.62,-0.84%,"3,985,180"
"Oct 28, 2024",455.59,459.24,455.00,458.49,458.49,0.99%,"4,103,359"
"Oct 25, 2024",458.60,459.45,453.03,454.01,454.01,-0.82%,"2,838,884"
"Oct 24, 2024",460.90,461.05,453.96,457.77,457.77,-0.62%,"3,793,479"
"Oct 23, 2024",460.15,463.26,458.75,460.61,460.61,-0.18%,"3,655,203"
"Oct 22, 2024",464.11,465.15,457.60,461.45,461.45,-0.58%,"3,315,151"
"Oct 21, 2024",464.53,465.79,461.68,464.16,464.16,-0.14%,"3,131,480"
"Oct 18, 2024",467.00,467.00,463.25,464.80,464.80,-0.23%,"5,635,463"
"Oct 17, 2024",466.10,467.84,464.27,465.85,465.85,0.03%,"2,520,903"
"Oct 16, 2024",463.25,466.00,462.20,465.69,465.69,0.65%,"3,166,265"
"Oct 15, 2024",460.99,466.66,460.51,462.68,462.68,0.59%,"3,929,879"
"Oct 14, 2024",461.92,462.00,458.10,459.98,459.98,-0.05%,"2,969,790"
"Oct 11, 2024",455.90,463.45,455.90,460.21,460.21,1.16%,"3,243,402"
