date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",181.00,186.32,180.85,184.91,184.91,1.04%,"2,625,691"
"Nov 18, 2024",180.74,183.08,179.46,183.01,183.01,0.88%,"2,083,217"
"Nov 15, 2024",180.14,183.01,179.77,181.41,181.41,0.11%,"2,893,873"
"Nov 14, 2024",182.09,184.34,180.67,181.21,181.21,-0.19%,"2,417,236"
"Nov 13, 2024",181.27,183.00,180.40,181.56,181.56,0.50%,"2,728,012"
"Nov 12, 2024",182.16,182.64,178.02,180.66,180.66,-1.36%,"2,939,919"
"Nov 11, 2024",179.50,183.96,179.03,183.16,183.16,3.21%,"2,998,377"
"Nov 8, 2024",176.13,178.63,175.80,177.46,177.46,0.66%,"2,768,709"
"Nov 7, 2024",176.09,176.99,173.99,176.30,176.30,-0.05%,"2,865,956"
"Nov 6, 2024",175.05,178.30,172.58,176.38,176.38,3.99%,"6,852,157"
"Nov 5, 2024",166.73,169.64,166.16,169.62,169.62,1.54%,"2,609,614"
"Nov 4, 2024",167.90,169.00,166.62,167.04,167.04,-0.65%,"2,383,516"
"Nov 1, 2024",168.78,171.56,167.81,168.14,168.14,0.23%,"3,453,223"
"Oct 31, 2024",170.49,171.26,167.59,167.75,167.75,-2.21%,"3,472,953"
"Oct 30, 2024",169.84,173.26,169.69,171.54,171.54,1.02%,"2,501,146"
"Oct 29, 2024",168.91,169.93,168.15,169.81,169.81,-0.09%,"2,313,871"
"Oct 28, 2024",168.71,170.66,167.97,169.97,169.97,1.47%,"2,141,405"
"Oct 25, 2024",170.54,171.17,167.08,167.50,166.66,-1.27%,"2,831,110"
"Oct 24, 2024",170.54,171.99,167.96,169.66,168.81,1.64%,"3,531,492"
"Oct 23, 2024",168.37,170.45,165.04,166.92,166.08,-0.94%,"3,167,723"
"Oct 22, 2024",170.49,170.91,166.91,168.50,167.65,-1.33%,"2,926,508"
"Oct 21, 2024",171.50,174.16,170.40,170.77,169.91,-0.92%,"3,386,741"
"Oct 18, 2024",171.59,175.94,170.06,172.36,171.49,1.55%,"5,749,146"
