date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",928.00,934.00,916.36,930.15,930.15,1.16%,"1,670,959"
"Nov 18, 2024",910.64,925.94,907.11,919.51,919.51,1.37%,"1,797,786"
"Nov 15, 2024",917.74,920.55,905.56,907.07,907.07,-1.82%,"2,269,945"
"Nov 14, 2024",927.00,931.15,922.17,923.89,923.89,-1.05%,"1,859,919"
"Nov 13, 2024",930.00,937.59,923.20,933.73,933.73,0.14%,"1,757,645"
"Nov 12, 2024",935.95,939.56,927.00,932.38,932.38,-0.05%,"1,691,807"
"Nov 11, 2024",943.80,951.28,931.44,932.88,932.88,-1.16%,"2,181,815"
"Nov 8, 2024",914.00,962.00,913.75,943.80,943.80,3.27%,"3,277,090"
"Nov 7, 2024",898.62,919.48,894.37,913.93,913.93,1.63%,"2,145,454"
"Nov 6, 2024",898.28,899.90,886.28,899.25,899.25,1.02%,"2,437,420"
"Nov 5, 2024",888.00,895.58,886.80,890.17,890.17,0.46%,"1,622,264"
"Nov 4, 2024",881.34,887.00,876.73,886.07,886.07,1.00%,"1,577,144"
"Nov 1, 2024",874.27,879.41,867.34,877.31,877.31,0.36%,"1,625,161"
"Oct 31, 2024",877.20,877.65,868.65,874.18,873.03,-0.56%,"1,771,876"
"Oct 30, 2024",886.38,886.57,877.37,879.09,877.93,-0.89%,"1,412,209"
"Oct 29, 2024",890.00,891.17,874.09,886.99,885.82,-0.45%,"1,361,681"
"Oct 28, 2024",895.99,895.99,890.00,890.96,889.78,-0.03%,"912,507"
"Oct 25, 2024",895.65,901.62,890.00,891.22,890.04,-0.25%,"1,425,842"
"Oct 24, 2024",901.50,903.50,888.26,893.42,892.24,-0.64%,"1,649,565"
"Oct 23, 2024",896.02,905.68,894.99,899.17,897.98,0.64%,"2,193,473"
"Oct 22, 2024",890.98,894.89,884.31,893.49,892.31,0.76%,"1,189,653"
"Oct 21, 2024",889.00,891.40,883.70,886.77,885.60,-0.31%,"1,184,880"
"Oct 18, 2024",885.76,890.61,883.75,889.56,888.39,0.48%,"1,654,015"
"Oct 17, 2024",891.56,895.33,882.80,885.29,884.12,-0.24%,"1,321,463"
"Oct 16, 2024",889.92,891.33,879.50,887.38,886.21,-0.81%,"1,475,495"
"Oct 15, 2024",892.09,900.65,889.55,894.61,893.43,0.55%,"1,613,905"
"Oct 14, 2024",892.45,895.17,886.26,889.76,888.59,0.08%,"1,431,497"
"Oct 11, 2024",894.50,894.50,885.50,889.03,887.86,-0.51%,"1,527,294"
"Oct 10, 2024",910.00,910.00,891.84,893.63,892.45,-1.70%,"1,765,785"
"Oct 9, 2024",892.24,910.00,887.87,909.10,907.90,2.10%,"1,956,453"
"Oct 8, 2024",876.70,891.31,876.70,890.42,889.24,1.93%,"1,697,910"
"Oct 7, 2024",881.60,887.71,872.33,873.59,872.44,-1.08%,"1,963,158"
