date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",319.00,324.70,316.00,323.43,323.43,0.37%,"5,454,959"
"Nov 18, 2024",327.00,327.00,320.21,322.25,322.25,-0.93%,"4,251,074"
"Nov 15, 2024",326.93,330.26,324.18,325.26,325.26,-1.93%,"7,093,003"
"Nov 14, 2024",342.44,346.00,330.82,331.65,331.65,-2.95%,"7,630,619"
"Nov 13, 2024",345.50,348.19,338.77,341.72,341.72,0.17%,"6,902,936"
"Nov 12, 2024",339.29,348.86,338.51,341.15,341.15,-0.17%,"7,659,675"
"Nov 11, 2024",325.25,344.88,325.25,341.73,341.73,6.14%,"13,954,199"
"Nov 8, 2024",310.03,322.81,309.44,321.95,321.95,3.59%,"8,484,970"
"Nov 7, 2024",307.50,312.19,306.00,310.78,310.78,1.26%,"5,722,636"
"Nov 6, 2024",305.00,308.56,303.07,306.90,306.90,3.16%,"5,874,885"
"Nov 5, 2024",297.44,298.81,294.74,297.49,297.49,-0.17%,"4,456,064"
"Nov 4, 2024",297.99,300.18,292.92,298.01,298.01,1.12%,"5,108,329"
"Nov 1, 2024",290.23,296.99,290.00,294.72,294.72,1.15%,"3,527,502"
"Oct 31, 2024",292.60,296.09,289.55,291.37,291.37,-1.70%,"4,301,838"
"Oct 30, 2024",297.07,299.54,296.35,296.40,296.40,-0.83%,"2,826,545"
"Oct 29, 2024",294.00,300.60,292.81,298.89,298.89,1.74%,"4,280,743"
"Oct 28, 2024",293.60,296.07,292.49,293.77,293.77,1.14%,"3,867,816"
"Oct 25, 2024",290.00,294.38,288.83,290.46,290.46,1.29%,"3,351,560"
"Oct 24, 2024",286.56,288.91,285.18,286.76,286.76,0.82%,"3,210,656"
"Oct 23, 2024",287.73,288.30,282.62,284.43,284.43,-1.35%,"3,227,071"
"Oct 22, 2024",289.75,291.94,287.65,288.33,288.33,-1.02%,"3,100,125"
"Oct 21, 2024",289.00,292.92,288.04,291.29,291.29,-0.56%,"2,712,571"
"Oct 18, 2024",292.04,294.71,290.15,292.94,292.94,0.63%,"3,087,902"
"Oct 17, 2024",291.96,293.34,290.10,291.11,291.11,0.09%,"2,830,025"
"Oct 16, 2024",287.55,290.92,284.23,290.86,290.86,0.87%,"3,496,969"
"Oct 15, 2024",293.46,293.58,288.00,288.35,288.35,-1.13%,"3,850,782"
"Oct 14, 2024",289.92,292.45,288.25,291.64,291.64,1.23%,"3,642,540"
"Oct 11, 2024",289.21,290.24,286.30,288.10,288.10,-0.71%,"3,597,035"
"Oct 10, 2024",287.92,290.23,284.62,290.17,290.17,0.78%,"3,965,512"
"Oct 9, 2024",290.82,291.57,287.08,287.92,287.92,-1.25%,"4,850,952"
"Oct 8, 2024",286.00,292.63,284.10,291.57,291.57,2.46%,"5,211,209"
"Oct 7, 2024",286.58,288.17,283.38,284.57,284.57,-1.11%,"4,794,652"
"Oct 4, 2024",283.86,287.89,281.47,287.75,287.75,2.43%,"6,131,284"
"Oct 3, 2024",278.99,281.12,277.73,280.91,280.91,0.51%,"3,868,447"
"Oct 2, 2024",273.72,282.00,270.85,279.48,279.48,3.18%,"8,512,272"
"Oct 1, 2024",274.14,274.70,269.69,270.87,270.87,-1.04%,"4,369,918"
"Sep 30, 2024",273.95,275.74,269.14,273.71,273.71,-1.06%,"5,062,226"
"Sep 27, 2024",276.26,277.84,275.06,276.64,276.64,0.32%,"5,220,075"
"Sep 26, 2024",276.13,278.64,272.71,275.76,275.76,0.61%,"5,253,376"
"Sep 25, 2024",270.45,277.05,269.38,274.09,274.09,1.35%,"7,920,044"
"Sep 24, 2024",269.83,272.46,266.29,270.44,270.44,2.36%,"7,154,459"
"Sep 23, 2024",267.25,268.06,262.24,264.21,264.21,-0.97%,"6,033,986"
"Sep 20, 2024",266.01,270.32,261.32,266.80,266.80,0.30%,"11,463,169"
"Sep 19, 2024",260.72,269.54,258.05,265.99,265.99,5.37%,"11,022,830"
"Sep 18, 2024",256.00,256.12,250.96,252.43,252.43,-1.08%,"4,436,734"
"Sep 17, 2024",258.72,259.37,254.76,255.19,254.79,-0.67%,"5,423,388"
"Sep 16, 2024",254.57,257.81,254.57,256.91,256.50,0.92%,"5,367,024"
"Sep 13, 2024",252.54,256.83,252.45,254.57,254.17,0.47%,"4,998,901"
"Sep 12, 2024",251.39,254.14,249.57,253.37,252.97,1.52%,"5,221,397"
"Sep 11, 2024",244.81,250.02,242.01,249.57,249.18,1.39%,"4,822,215"
"Sep 10, 2024",247.13,247.34,243.31,246.16,245.77,0.16%,"3,544,808"
"Sep 9, 2024",246.50,249.36,244.77,245.76,245.37,0.73%,"4,588,809"
"Sep 6, 2024",247.74,250.00,241.44,243.97,243.58,-0.87%,"6,259,431"
"Sep 5, 2024",245.98,248.50,245.00,246.12,245.73,-0.63%,"4,083,624"
"Sep 4, 2024",246.47,249.48,245.16,247.68,247.29,-0.15%,"3,915,991"
"Sep 3, 2024",252.62,253.69,246.64,248.06,247.67,-1.91%,"6,190,352"
"Aug 30, 2024",257.44,259.13,251.00,252.90,252.50,-1.60%,"10,507,704"
"Aug 29, 2024",271.01,271.95,256.28,257.01,256.60,-0.73%,"14,301,691"
"Aug 28, 2024",261.83,265.18,257.36,258.90,258.49,-2.01%,"10,981,901"
"Aug 27, 2024",259.65,264.46,259.40,264.20,263.78,-0.41%,"5,276,384"
"Aug 26, 2024",263.94,267.30,263.24,265.28,264.86,0.48%,"3,818,271"
"Aug 23, 2024",261.99,265.60,260.70,264.00,263.58,2.09%,"4,711,326"
"Aug 22, 2024",261.50,263.26,257.27,258.59,258.18,-0.96%,"5,111,442"
"Aug 21, 2024",261.10,262.14,259.18,261.09,260.68,-0.29%,"4,648,204"
"Aug 20, 2024",264.95,265.50,261.03,261.84,261.43,-1.33%,"5,731,309"
"Aug 19, 2024",263.10,265.39,261.63,265.38,264.96,0.94%,"4,501,262"
"Aug 16, 2024",261.75,263.60,259.68,262.91,262.49,0.05%,"3,494,863"
"Aug 15, 2024",257.90,262.89,256.24,262.79,262.37,2.93%,"5,167,930"
"Aug 14, 2024",255.39,257.71,253.86,255.32,254.92,0.28%,"4,145,248"
"Aug 13, 2024",253.00,255.78,253.00,254.60,254.20,1.31%,"4,031,818"
"Aug 12, 2024",252.60,254.09,249.02,251.31,250.91,-0.48%,"3,679,904"
"Aug 9, 2024",248.70,252.95,248.45,252.53,252.13,1.37%,"2,975,285"
"Aug 8, 2024",243.24,249.43,243.08,249.12,248.73,3.78%,"4,474,252"
"Aug 7, 2024",242.61,246.53,239.66,240.04,239.66,0.68%,"4,035,549"
"Aug 6, 2024",241.09,243.85,238.03,238.42,238.04,-0.25%,"5,673,889"
"Aug 5, 2024",232.32,241.82,232.21,239.01,238.63,-2.03%,"6,899,342"
"Aug 2, 2024",247.79,248.00,241.12,243.97,243.58,-3.59%,"6,504,544"
"Aug 1, 2024",259.90,263.36,249.74,253.06,252.66,-2.22%,"5,527,395"
"Jul 31, 2024",256.21,261.83,255.35,258.80,258.39,0.34%,"4,647,690"
"Jul 30, 2024",259.62,260.75,255.12,257.93,257.52,-0.26%,"3,944,295"
"Jul 29, 2024",262.71,266.08,258.52,258.59,258.18,-1.57%,"5,101,425"
"Jul 26, 2024",258.17,264.49,257.07,262.71,262.29,2.41%,"6,127,323"
"Jul 25, 2024",254.74,264.08,251.73,256.52,256.11,2.70%,"7,155,846"
"Jul 24, 2024",253.63,255.91,248.90,249.78,249.39,-2.45%,"5,204,088"
"Jul 23, 2024",256.59,257.33,253.75,256.06,255.66,0.78%,"3,905,543"
"Jul 22, 2024",248.75,255.58,248.00,254.08,253.68,2.60%,"5,647,588"
"Jul 19, 2024",248.65,248.99,245.17,247.63,247.24,0.11%,"4,468,875"
"Jul 18, 2024",252.14,252.45,245.72,247.35,246.96,-1.54%,"6,351,643"
"Jul 17, 2024",254.00,255.57,249.61,251.22,250.82,-1.88%,"5,625,254"
"Jul 16, 2024",253.78,256.78,252.67,256.03,255.63,1.25%,"4,780,386"
"Jul 15, 2024",256.02,256.39,252.12,252.86,252.46,-0.44%,"4,404,270"
"Jul 12, 2024",251.62,255.29,249.69,253.97,253.57,1.13%,"4,705,492"
"Jul 11, 2024",252.60,255.42,250.92,251.12,250.72,-0.58%,"5,343,727"
"Jul 10, 2024",251.20,254.80,246.11,252.59,252.19,0.06%,"8,947,679"
"Jul 9, 2024",256.09,257.00,251.09,252.43,252.03,-1.92%,"7,017,109"
"Jul 8, 2024",261.38,262.84,257.19,257.37,256.56,-2.21%,"6,539,287"
"Jul 5, 2024",262.72,265.81,261.32,263.19,262.36,0.86%,"6,562,111"
"Jul 3, 2024",256.98,261.22,256.94,260.95,260.13,1.86%,"4,755,729"
"Jul 2, 2024",255.05,257.73,254.06,256.19,255.38,-0.01%,"5,130,593"
"Jul 1, 2024",258.15,259.48,254.53,256.21,255.40,-0.35%,"5,871,685"
