date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",159.98,160.43,158.75,159.60,159.60,-0.72%,"4,651,143"
"Nov 18, 2024",160.56,161.52,159.07,160.76,160.76,-0.41%,"6,092,141"
"Nov 15, 2024",161.52,162.38,160.76,161.42,159.80,-0.23%,"9,022,753"
"Nov 14, 2024",159.84,161.83,159.68,161.80,160.18,1.94%,"10,111,234"
"Nov 13, 2024",156.07,159.02,154.53,158.72,157.13,2.21%,"8,824,013"
"Nov 12, 2024",157.30,157.47,155.12,155.29,153.73,-0.77%,"5,681,869"
"Nov 11, 2024",157.14,157.94,155.90,156.50,154.93,-0.27%,"7,771,691"
"Nov 8, 2024",156.60,157.58,155.67,156.93,155.36,0.10%,"6,041,457"
"Nov 7, 2024",157.94,158.01,156.40,156.77,155.20,-0.60%,"8,143,245"
"Nov 6, 2024",157.10,158.61,156.12,157.72,156.14,2.81%,"12,118,908"
"Nov 5, 2024",154.53,154.67,152.55,153.41,151.87,-0.36%,"5,978,897"
"Nov 4, 2024",154.42,154.42,152.62,153.97,152.43,0.59%,"6,129,961"
"Nov 1, 2024",152.48,155.93,151.70,153.07,151.53,2.86%,"11,727,977"
"Oct 31, 2024",148.76,149.57,147.89,148.82,147.33,0.52%,"8,400,855"
"Oct 30, 2024",149.08,149.65,147.66,148.05,146.56,-0.32%,"5,784,011"
"Oct 29, 2024",150.04,150.42,147.87,148.52,147.03,-1.34%,"6,014,676"
"Oct 28, 2024",148.25,150.70,148.16,150.54,149.03,-0.18%,"8,892,039"
"Oct 25, 2024",151.39,152.12,150.46,150.81,149.30,0.24%,"6,839,894"
"Oct 24, 2024",151.13,151.45,149.38,150.45,148.94,-0.02%,"5,474,258"
"Oct 23, 2024",150.36,151.00,149.29,150.48,148.97,-0.29%,"5,248,853"
"Oct 22, 2024",151.25,151.68,150.22,150.92,149.41,0.03%,"4,416,409"
"Oct 21, 2024",152.00,152.48,150.49,150.88,149.37,0.09%,"5,073,999"
"Oct 18, 2024",150.82,151.08,149.38,150.75,149.24,-0.30%,"5,208,202"
"Oct 17, 2024",149.26,151.33,148.97,151.20,149.68,1.66%,"6,593,136"
"Oct 16, 2024",148.35,149.03,148.21,148.73,147.24,0.68%,"4,303,737"
"Oct 15, 2024",148.80,149.96,147.56,147.73,146.25,-2.67%,"6,704,610"
"Oct 14, 2024",150.52,151.90,150.18,151.78,150.26,0.24%,"4,214,721"
"Oct 11, 2024",150.38,152.33,150.25,151.42,149.90,0.53%,"5,051,314"
"Oct 10, 2024",150.68,151.55,149.85,150.62,149.11,0.65%,"4,420,891"
"Oct 9, 2024",147.51,150.37,147.36,149.65,148.15,0.61%,"4,973,453"
"Oct 8, 2024",149.20,149.60,147.73,148.75,147.26,-1.57%,"5,892,739"
"Oct 7, 2024",151.50,152.75,150.69,151.12,149.60,0.25%,"5,895,852"
"Oct 4, 2024",152.48,152.50,150.14,150.74,149.23,-0.34%,"7,895,285"
"Oct 3, 2024",151.31,152.17,150.02,151.25,149.73,0.20%,"6,553,282"
"Oct 2, 2024",151.68,152.28,149.26,150.95,149.44,0.84%,"8,105,420"
"Oct 1, 2024",146.35,150.52,145.45,149.70,148.20,1.65%,"9,489,121"
"Sep 30, 2024",145.37,147.48,144.28,147.27,145.79,1.22%,"7,494,608"
"Sep 27, 2024",142.98,145.77,142.84,145.49,144.03,2.46%,"8,049,155"
"Sep 26, 2024",140.90,143.22,140.63,141.99,140.57,-1.38%,"8,046,171"
"Sep 25, 2024",146.95,147.41,143.50,143.97,142.53,-2.36%,"7,888,444"
"Sep 24, 2024",148.88,149.10,146.91,147.45,145.97,-0.06%,"6,014,208"
"Sep 23, 2024",146.25,148.42,145.95,147.54,146.06,1.28%,"6,960,639"
"Sep 20, 2024",145.23,145.91,143.44,145.68,144.22,0.48%,"23,162,864"
"Sep 19, 2024",145.81,146.78,144.93,144.99,143.54,0.72%,"7,247,416"
"Sep 18, 2024",143.32,145.60,143.19,143.96,142.52,0.38%,"6,180,252"
"Sep 17, 2024",141.80,144.14,141.74,143.41,141.97,0.93%,"7,338,782"
"Sep 16, 2024",141.69,143.17,141.07,142.09,140.66,1.05%,"6,864,275"
"Sep 13, 2024",139.87,141.53,139.71,140.61,139.20,1.01%,"5,900,747"
"Sep 12, 2024",138.23,139.47,137.42,139.21,137.81,0.96%,"6,593,436"
"Sep 11, 2024",138.21,138.48,135.37,137.88,136.50,-0.25%,"9,534,010"
"Sep 10, 2024",140.90,141.08,137.09,138.23,136.84,-1.48%,"8,202,480"
"Sep 9, 2024",138.64,142.02,138.54,140.30,138.89,1.26%,"9,892,347"
"Sep 6, 2024",141.07,142.11,137.87,138.56,137.17,-1.68%,"7,836,358"
"Sep 5, 2024",143.17,143.17,140.60,140.93,139.52,-0.80%,"9,371,051"
"Sep 4, 2024",144.64,145.53,141.67,142.07,140.64,-1.79%,"9,810,048"
"Sep 3, 2024",145.55,145.77,144.28,144.66,143.21,-2.22%,"7,944,740"
"Aug 30, 2024",146.22,148.08,145.70,147.95,146.47,0.36%,"6,414,755"
"Aug 29, 2024",146.46,148.18,145.44,147.42,145.94,0.97%,"4,466,696"
"Aug 28, 2024",146.44,147.14,145.48,146.00,144.54,-0.65%,"5,614,416"
"Aug 27, 2024",148.67,149.55,146.74,146.95,145.48,-1.04%,"5,099,956"
"Aug 26, 2024",148.97,150.09,147.55,148.50,147.01,0.60%,"5,780,289"
"Aug 23, 2024",146.53,148.09,146.32,147.62,146.14,1.30%,"4,824,078"
"Aug 22, 2024",145.35,146.33,145.13,145.73,144.27,0.28%,"4,026,998"
"Aug 21, 2024",145.43,146.64,144.55,145.32,143.86,0.44%,"5,984,993"
"Aug 20, 2024",146.33,146.51,144.56,144.69,143.24,-1.46%,"7,497,606"
"Aug 19, 2024",146.01,147.73,145.89,146.83,145.36,-0.30%,"5,967,406"
"Aug 16, 2024",146.05,147.62,145.64,147.27,144.19,0.32%,"6,874,416"
"Aug 15, 2024",145.59,147.52,145.48,146.80,143.73,1.47%,"6,304,232"
"Aug 14, 2024",144.39,145.24,143.43,144.67,141.65,0.36%,"5,874,216"
"Aug 13, 2024",144.08,144.55,143.05,144.15,141.14,-0.60%,"7,794,816"
"Aug 12, 2024",145.84,146.74,139.69,145.02,141.99,0.02%,"8,442,174"
"Aug 9, 2024",144.21,146.11,143.19,144.99,141.96,0.35%,"7,653,053"
"Aug 8, 2024",143.08,144.82,142.71,144.49,141.47,1.46%,"7,531,112"
"Aug 7, 2024",144.58,145.73,142.28,142.41,139.43,-0.57%,"8,867,862"
"Aug 6, 2024",144.49,145.09,143.12,143.23,140.24,-0.99%,"9,692,659"
"Aug 5, 2024",145.52,145.77,143.41,144.66,141.64,-2.62%,"13,037,190"
"Aug 2, 2024",151.13,152.04,147.02,148.55,145.44,-2.67%,"13,278,618"
"Aug 1, 2024",158.71,159.50,152.03,152.62,149.43,-4.89%,"16,689,945"
"Jul 31, 2024",161.69,161.69,160.05,160.47,157.12,0.56%,"6,209,200"
"Jul 30, 2024",156.46,160.09,156.44,159.57,156.23,1.90%,"5,740,861"
"Jul 29, 2024",158.25,158.25,154.86,156.60,153.33,-0.79%,"5,071,988"
"Jul 26, 2024",157.73,159.04,157.06,157.84,154.54,0.19%,"5,232,519"
"Jul 25, 2024",155.37,158.26,154.62,157.54,154.25,1.59%,"5,432,141"
"Jul 24, 2024",154.69,155.70,153.42,155.07,151.83,0.64%,"5,971,731"
"Jul 23, 2024",156.35,156.60,153.84,154.09,150.87,-1.85%,"6,238,721"
"Jul 22, 2024",158.22,158.98,156.86,156.99,153.71,-1.36%,"5,577,286"
"Jul 19, 2024",162.48,162.70,158.41,159.15,155.82,-1.74%,"6,427,723"
"Jul 18, 2024",161.23,164.28,160.24,161.97,158.58,0.46%,"6,577,674"
"Jul 17, 2024",158.50,161.48,158.29,161.23,157.86,2.19%,"7,296,622"
"Jul 16, 2024",157.01,158.31,156.15,157.77,154.47,-0.17%,"6,924,187"
"Jul 15, 2024",156.95,159.52,156.37,158.04,154.74,1.57%,"5,661,170"
"Jul 12, 2024",156.16,156.44,154.56,155.59,152.34,0.21%,"6,446,316"
"Jul 11, 2024",155.00,156.68,154.22,155.26,152.01,0.08%,"8,323,125"
"Jul 10, 2024",152.50,155.44,152.30,155.13,151.89,1.41%,"5,416,594"
"Jul 9, 2024",153.00,154.76,152.35,152.98,149.78,-0.87%,"5,303,129"
"Jul 8, 2024",153.32,155.28,153.32,154.33,151.10,0.01%,"4,990,726"
"Jul 5, 2024",156.55,156.55,153.68,154.31,151.08,-1.53%,"6,183,056"
"Jul 3, 2024",156.94,157.74,156.56,156.71,153.43,-0.03%,"3,264,196"
"Jul 2, 2024",157.68,157.72,155.45,156.75,153.47,0.15%,"7,216,801"
"Jul 1, 2024",157.16,158.70,155.98,156.52,153.25,0.06%,"5,584,116"
