date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",112.05,112.50,110.82,112.42,112.42,-0.99%,"11,393,292"
"Nov 18, 2024",113.33,115.44,112.89,113.54,113.54,-1.34%,"14,236,555"
"Nov 15, 2024",110.25,115.19,110.25,115.08,115.08,5.46%,"32,048,032"
"Nov 14, 2024",110.33,114.81,108.40,109.12,109.12,6.23%,"47,436,052"
"Nov 13, 2024",100.79,103.20,100.35,102.72,102.72,1.71%,"17,701,277"
"Nov 12, 2024",100.55,101.29,99.50,100.99,100.99,0.13%,"9,366,216"
"Nov 11, 2024",99.00,100.90,99.00,100.86,100.86,1.86%,"9,137,854"
"Nov 8, 2024",98.73,99.26,97.61,99.02,99.02,0.09%,"7,982,113"
"Nov 7, 2024",98.78,99.52,98.13,98.93,98.93,0.04%,"7,805,138"
"Nov 6, 2024",98.21,99.55,98.21,98.89,98.89,2.34%,"11,325,086"
"Nov 5, 2024",95.60,96.67,95.25,96.63,96.63,0.88%,"6,561,725"
"Nov 4, 2024",95.83,96.02,95.03,95.79,95.79,-0.02%,"6,088,036"
"Nov 1, 2024",95.70,96.39,94.83,95.81,95.81,-0.41%,"7,944,869"
"Oct 31, 2024",95.27,96.63,95.00,96.20,96.20,1.18%,"8,147,709"
"Oct 30, 2024",95.70,96.71,94.94,95.08,95.08,-1.09%,"7,718,201"
"Oct 29, 2024",96.26,96.62,95.68,96.13,96.13,-0.07%,"6,834,439"
"Oct 28, 2024",95.22,96.69,95.21,96.20,96.20,1.23%,"8,146,379"
"Oct 25, 2024",95.81,96.85,95.01,95.03,95.03,-0.39%,"6,638,148"
"Oct 24, 2024",96.60,96.80,95.25,95.40,95.40,-0.87%,"5,015,263"
"Oct 23, 2024",96.93,97.14,95.99,96.24,96.24,-0.52%,"5,388,501"
"Oct 22, 2024",96.20,97.26,96.20,96.74,96.74,0.12%,"5,344,307"
"Oct 21, 2024",97.20,97.45,95.95,96.62,96.62,-0.68%,"8,189,949"
"Oct 18, 2024",97.01,97.54,96.05,97.28,97.28,0.77%,"8,609,692"
"Oct 17, 2024",96.93,97.33,95.61,96.54,96.54,-0.22%,"9,542,501"
"Oct 16, 2024",93.73,96.79,93.63,96.75,96.75,2.69%,"9,936,286"
"Oct 15, 2024",95.25,95.65,93.68,94.22,94.22,-0.79%,"6,535,756"
"Oct 14, 2024",94.18,95.19,93.80,94.97,94.97,0.89%,"6,261,964"
"Oct 11, 2024",92.85,94.61,92.80,94.13,94.13,1.23%,"8,089,133"
"Oct 10, 2024",93.72,93.88,92.69,92.99,92.99,-0.65%,"6,698,039"
"Oct 9, 2024",91.86,94.01,91.46,93.60,93.60,1.18%,"8,654,470"
"Oct 8, 2024",92.52,93.74,91.69,92.51,92.51,0.13%,"10,209,056"
"Oct 7, 2024",95.09,95.14,91.76,92.39,92.39,-2.90%,"11,043,614"
"Oct 4, 2024",94.30,95.34,93.89,95.15,95.15,1.62%,"6,317,333"
"Oct 3, 2024",93.61,94.09,93.13,93.63,93.63,-0.55%,"6,180,349"
"Oct 2, 2024",93.59,94.58,93.59,94.15,94.15,0.11%,"6,144,176"
"Oct 1, 2024",95.19,95.85,93.32,94.05,94.05,-2.22%,"10,099,234"
"Sep 30, 2024",96.85,97.57,95.44,96.19,96.19,0.19%,"7,988,690"
"Sep 27, 2024",95.49,96.90,95.28,96.01,96.01,0.85%,"10,155,420"
"Sep 26, 2024",94.46,95.79,94.18,95.20,95.20,1.36%,"10,061,553"
"Sep 25, 2024",93.64,94.44,93.35,93.92,93.92,0.25%,"8,408,242"
"Sep 24, 2024",93.34,93.79,92.46,93.69,93.69,0.77%,"7,860,272"
"Sep 23, 2024",93.70,93.70,92.16,92.97,92.97,-0.83%,"7,338,661"
"Sep 20, 2024",93.20,94.01,92.82,93.75,93.75,0.32%,"19,251,537"
"Sep 19, 2024",94.82,95.29,93.32,93.45,93.45,-0.14%,"10,912,446"
"Sep 18, 2024",93.52,94.07,92.69,93.58,93.58,0.78%,"10,289,766"
"Sep 17, 2024",92.37,93.25,92.17,92.86,92.86,1.10%,"8,193,075"
"Sep 16, 2024",91.10,92.37,90.95,91.85,91.85,1.44%,"9,028,572"
"Sep 13, 2024",89.45,90.72,89.39,90.55,90.55,1.40%,"7,084,239"
"Sep 12, 2024",88.22,89.33,88.18,89.30,89.30,1.11%,"7,181,709"
"Sep 11, 2024",88.05,88.43,86.59,88.32,88.32,-0.09%,"10,779,000"
"Sep 10, 2024",88.33,88.89,87.98,88.40,88.40,0.07%,"6,858,313"
"Sep 9, 2024",88.22,88.89,87.81,88.34,88.34,0.45%,"8,750,247"
"Sep 6, 2024",88.45,89.09,87.72,87.94,87.94,-0.80%,"7,791,503"
"Sep 5, 2024",89.67,89.67,88.34,88.65,88.65,-0.67%,"6,234,114"
"Sep 4, 2024",88.95,90.02,88.82,89.25,89.25,0.13%,"6,250,570"
"Sep 3, 2024",89.61,90.49,88.54,89.13,89.13,-1.38%,"8,465,469"
"Aug 30, 2024",89.98,90.45,89.40,90.38,90.38,0.63%,"8,403,632"
"Aug 29, 2024",90.45,90.70,89.63,89.81,89.81,0.36%,"6,181,750"
"Aug 28, 2024",90.33,90.63,88.76,89.49,89.49,-1.55%,"8,569,690"
"Aug 27, 2024",91.43,91.72,90.75,90.90,90.90,-0.96%,"7,237,353"
"Aug 26, 2024",90.92,91.80,90.92,91.78,91.78,1.35%,"8,043,757"
"Aug 23, 2024",90.15,90.75,89.68,90.56,90.56,0.71%,"7,369,239"
"Aug 22, 2024",90.99,91.38,89.70,89.92,89.92,-0.88%,"7,613,030"
"Aug 21, 2024",90.22,90.78,89.43,90.72,90.72,1.09%,"7,637,566"
"Aug 20, 2024",90.39,90.67,89.31,89.74,89.74,-1.19%,"8,863,436"
"Aug 19, 2024",89.41,90.95,89.41,90.82,90.82,1.70%,"9,723,589"
"Aug 16, 2024",88.96,89.67,88.34,89.30,89.30,0.57%,"10,277,743"
"Aug 15, 2024",87.25,88.93,87.21,88.79,88.79,2.89%,"12,400,986"
"Aug 14, 2024",86.01,86.54,85.56,86.30,86.30,0.82%,"9,475,119"
