date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",408.38,409.16,399.36,406.80,406.80,-0.89%,"3,200,647"
"Nov 18, 2024",405.50,412.54,403.95,410.44,410.44,0.55%,"3,394,375"
"Nov 15, 2024",402.90,408.91,402.90,408.18,408.18,0.61%,"3,239,545"
"Nov 14, 2024",408.00,411.50,404.39,405.72,405.72,-1.09%,"3,348,056"
"Nov 13, 2024",409.13,412.74,406.72,410.19,410.19,1.76%,"3,083,105"
"Nov 12, 2024",414.25,416.02,402.19,403.08,403.08,-1.28%,"5,647,107"
"Nov 11, 2024",407.77,411.60,405.83,408.29,408.29,0.59%,"4,071,533"
"Nov 8, 2024",404.00,406.40,402.30,405.90,405.90,1.62%,"3,448,699"
"Nov 7, 2024",391.00,399.76,390.80,399.44,399.44,2.85%,"4,323,070"
"Nov 6, 2024",394.04,394.04,381.72,388.37,388.37,-2.93%,"7,133,367"
"Nov 5, 2024",394.97,400.23,393.86,400.09,400.09,1.14%,"2,496,489"
"Nov 4, 2024",391.95,400.48,391.07,395.57,395.57,0.76%,"2,690,877"
"Nov 1, 2024",394.80,398.71,392.01,392.59,392.59,-0.29%,"3,277,974"
"Oct 31, 2024",390.50,395.67,390.50,393.75,393.75,0.31%,"2,518,637"
"Oct 30, 2024",395.00,397.69,391.94,392.52,392.52,-0.65%,"2,795,609"
"Oct 29, 2024",393.94,399.11,389.05,395.07,395.07,-1.94%,"3,822,679"
"Oct 28, 2024",403.45,405.84,401.95,402.89,402.89,1.00%,"2,586,529"
"Oct 25, 2024",403.52,403.52,397.83,398.91,398.91,-0.94%,"1,941,426"
"Oct 24, 2024",402.29,404.20,398.09,402.68,402.68,0.76%,"2,550,281"
"Oct 23, 2024",400.56,404.28,396.69,399.64,399.64,-0.55%,"3,159,207"
"Oct 22, 2024",398.50,402.95,396.21,401.85,401.85,-1.12%,"4,486,654"
"Oct 21, 2024",416.07,416.56,404.37,406.40,406.40,-2.07%,"3,699,527"
"Oct 18, 2024",416.65,416.66,413.24,415.00,415.00,-0.14%,"2,436,725"
"Oct 17, 2024",418.61,419.00,414.56,415.60,415.60,-0.72%,"2,013,819"
"Oct 16, 2024",413.87,418.74,413.87,418.61,418.61,0.73%,"2,429,037"
"Oct 15, 2024",417.95,421.56,415.02,415.58,415.58,0.04%,"3,693,034"
"Oct 14, 2024",411.48,416.42,411.30,415.42,415.42,0.85%,"2,088,681"
"Oct 11, 2024",410.56,413.14,408.84,411.90,411.90,0.47%,"2,717,431"
"Oct 10, 2024",409.72,414.48,407.63,409.96,409.96,-1.47%,"3,040,794"
"Oct 9, 2024",420.00,420.03,410.75,416.07,416.07,0.46%,"3,627,800"
"Oct 8, 2024",409.80,415.29,408.44,414.18,414.18,1.50%,"3,693,887"
"Oct 7, 2024",404.89,409.81,401.24,408.06,408.06,-0.07%,"3,267,812"
"Oct 4, 2024",410.07,411.82,399.45,408.36,408.36,-0.78%,"3,989,606"
"Oct 3, 2024",409.00,412.97,406.80,411.58,411.58,0.08%,"3,320,682"
