date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",242.25,245.15,241.55,243.09,243.09,-0.79%,"6,568,162"
"Nov 18, 2024",247.76,247.93,242.68,245.03,245.03,-0.11%,"9,052,575"
"Nov 15, 2024",241.46,246.42,241.46,245.31,245.31,1.42%,"11,518,836"
"Nov 14, 2024",242.42,244.29,241.05,241.87,241.87,0.29%,"10,172,202"
"Nov 13, 2024",240.58,244.09,240.31,241.16,241.16,0.67%,"11,472,557"
"Nov 12, 2024",240.55,241.46,238.76,239.56,239.56,0.11%,"6,860,956"
"Nov 11, 2024",240.00,242.10,239.00,239.29,239.29,0.97%,"9,017,079"
"Nov 8, 2024",239.34,239.34,235.78,236.98,236.98,0.25%,"9,502,100"
"Nov 7, 2024",244.50,244.57,235.22,236.38,236.38,-4.32%,"16,451,071"
"Nov 6, 2024",235.00,248.00,234.77,247.06,247.06,11.54%,"23,987,753"
"Nov 5, 2024",220.03,221.96,220.00,221.49,221.49,0.78%,"5,600,686"
"Nov 4, 2024",222.65,223.76,219.17,219.78,219.78,-1.42%,"8,229,588"
"Nov 1, 2024",223.56,226.15,222.70,222.94,222.94,0.46%,"6,923,452"
"Oct 31, 2024",224.70,225.69,221.82,221.92,221.92,-1.11%,"7,829,932"
"Oct 30, 2024",222.54,226.31,221.58,224.41,224.41,0.68%,"7,110,941"
"Oct 29, 2024",225.21,226.75,222.81,222.90,222.90,-1.15%,"6,580,004"
"Oct 28, 2024",223.35,225.64,222.95,225.50,225.50,1.43%,"6,842,956"
"Oct 25, 2024",225.00,225.62,220.88,222.31,222.31,-1.19%,"6,369,720"
"Oct 24, 2024",221.83,225.06,221.66,224.98,224.98,0.70%,"6,002,202"
"Oct 23, 2024",223.66,224.80,222.53,223.41,223.41,-0.32%,"6,180,528"
"Oct 22, 2024",223.02,225.28,221.10,224.12,224.12,0.50%,"9,586,793"
"Oct 21, 2024",225.22,225.70,222.90,223.00,223.00,-1.05%,"5,869,959"
"Oct 18, 2024",225.00,225.92,223.10,225.37,225.37,0.42%,"7,000,543"
"Oct 17, 2024",224.27,225.85,223.31,224.42,224.42,0.35%,"6,470,186"
"Oct 16, 2024",222.33,223.68,221.04,223.64,223.64,0.56%,"6,382,515"
"Oct 15, 2024",223.66,225.45,221.82,222.39,222.39,0.41%,"9,235,825"
"Oct 14, 2024",223.20,223.70,218.88,221.48,221.48,-0.36%,"9,048,925"
"Oct 11, 2024",215.67,224.63,215.16,222.29,222.29,4.44%,"18,320,650"
"Oct 10, 2024",214.81,214.81,211.47,212.84,212.84,-0.27%,"7,927,051"
"Oct 9, 2024",209.70,214.24,209.38,213.42,213.42,1.27%,"7,023,998"
"Oct 8, 2024",210.58,211.33,208.38,210.75,210.75,-0.09%,"6,021,772"
"Oct 7, 2024",211.03,213.33,209.69,210.93,210.93,-0.14%,"6,718,898"
"Oct 4, 2024",209.30,211.67,206.91,211.22,211.22,2.92%,"10,213,415"
"Oct 3, 2024",206.17,206.49,204.34,205.23,204.02,-0.99%,"7,251,325"
"Oct 2, 2024",207.08,208.95,205.69,207.29,206.07,0.12%,"5,810,931"
"Oct 1, 2024",208.90,209.09,206.19,207.04,205.82,-1.81%,"8,540,064"
"Sep 30, 2024",206.31,210.96,205.26,210.86,209.62,0.17%,"8,668,314"
"Sep 27, 2024",210.65,212.44,209.33,210.50,209.26,0.34%,"7,032,450"
"Sep 26, 2024",211.13,211.70,209.01,209.78,208.55,-0.20%,"7,807,480"
"Sep 25, 2024",211.68,212.24,208.61,210.19,208.95,-0.66%,"8,976,520"
"Sep 24, 2024",211.15,212.95,210.37,211.59,210.35,0.07%,"7,323,239"
"Sep 23, 2024",211.00,211.80,209.99,211.44,210.20,0.17%,"7,223,491"
"Sep 20, 2024",209.93,211.42,209.50,211.09,209.85,0.29%,"20,884,974"
"Sep 19, 2024",209.78,211.91,207.34,210.48,209.24,1.42%,"11,635,168"
"Sep 18, 2024",209.01,211.34,206.70,207.53,206.31,-0.82%,"8,259,876"
"Sep 17, 2024",207.73,209.93,207.66,209.25,208.02,0.67%,"7,573,345"
"Sep 16, 2024",205.83,208.21,205.59,207.86,206.64,1.73%,"8,634,936"
"Sep 13, 2024",206.86,207.85,203.02,204.32,203.12,-1.10%,"10,226,694"
"Sep 12, 2024",207.65,208.78,204.89,206.60,205.39,-0.30%,"9,055,756"
"Sep 11, 2024",205.25,207.70,201.83,207.23,206.01,0.81%,"13,658,743"
"Sep 10, 2024",218.60,218.64,200.61,205.56,204.35,-5.19%,"28,406,903"
"Sep 9, 2024",215.19,218.15,214.18,216.81,215.53,2.05%,"8,935,074"
"Sep 6, 2024",217.60,218.74,211.09,212.46,211.21,-2.38%,"7,776,998"
"Sep 5, 2024",220.15,220.80,216.03,217.63,216.35,-0.78%,"8,067,874"
"Sep 4, 2024",221.04,222.07,217.21,219.33,218.04,-0.44%,"7,345,660"
"Sep 3, 2024",222.30,224.10,219.24,220.30,219.00,-2.00%,"8,956,089"
"Aug 30, 2024",222.50,225.48,221.93,224.80,223.48,1.17%,"8,574,128"
"Aug 29, 2024",222.15,222.98,218.94,222.21,220.90,0.42%,"6,416,149"
"Aug 28, 2024",219.25,222.21,219.19,221.29,219.99,0.50%,"6,506,402"
"Aug 27, 2024",219.51,220.42,219.19,220.18,218.89,0.46%,"5,185,221"
"Aug 26, 2024",219.01,219.68,218.05,219.17,217.88,0.39%,"5,105,245"
"Aug 23, 2024",217.60,219.19,216.50,218.31,217.03,0.78%,"7,213,981"
"Aug 22, 2024",214.58,216.80,214.34,216.63,215.36,0.95%,"5,247,098"
"Aug 21, 2024",214.43,215.00,212.84,214.60,213.34,0.04%,"5,202,472"
"Aug 20, 2024",215.00,216.00,213.68,214.52,213.26,-0.43%,"5,640,223"
"Aug 19, 2024",214.00,215.53,213.82,215.45,214.18,0.69%,"6,090,818"
"Aug 16, 2024",211.69,214.09,211.59,213.97,212.71,1.14%,"7,931,234"
"Aug 15, 2024",213.00,213.89,211.10,211.55,210.31,0.62%,"7,001,005"
"Aug 14, 2024",207.74,210.76,207.12,210.24,209.00,1.11%,"6,999,809"
"Aug 13, 2024",207.73,208.09,205.40,207.94,206.72,0.85%,"6,387,942"
"Aug 12, 2024",206.41,207.14,203.66,206.19,204.98,0.19%,"6,935,954"
"Aug 9, 2024",203.47,206.47,202.90,205.80,204.59,0.85%,"5,540,240"
"Aug 8, 2024",202.47,204.91,201.79,204.06,202.86,1.83%,"7,761,199"
"Aug 7, 2024",203.51,205.75,200.20,200.40,199.22,0.03%,"9,204,434"
"Aug 6, 2024",195.40,202.60,194.00,200.34,199.16,2.79%,"10,605,780"
"Aug 5, 2024",194.05,196.17,190.90,194.90,193.75,-2.13%,"13,926,997"
"Aug 2, 2024",203.88,204.67,196.89,199.14,197.97,-4.24%,"18,041,676"
"Aug 1, 2024",213.20,213.83,206.38,207.96,206.74,-2.27%,"10,918,644"
"Jul 31, 2024",214.78,216.39,212.67,212.80,211.55,-1.11%,"9,071,637"
"Jul 30, 2024",213.23,215.79,212.96,215.19,213.92,2.06%,"8,850,705"
"Jul 29, 2024",212.65,213.61,210.55,210.85,209.61,-0.65%,"6,533,636"
"Jul 26, 2024",209.24,213.16,208.62,212.24,210.99,1.71%,"8,027,787"
"Jul 25, 2024",208.65,210.19,208.05,208.67,207.44,0.04%,"6,403,774"
"Jul 24, 2024",209.55,212.03,208.07,208.59,207.36,-0.83%,"7,118,957"
"Jul 23, 2024",211.02,211.48,209.35,210.33,209.09,0.02%,"5,557,262"
"Jul 22, 2024",210.46,212.17,209.71,210.28,209.04,0.24%,"7,663,223"
"Jul 19, 2024",211.20,212.35,208.92,209.78,208.55,-0.10%,"8,095,898"
"Jul 18, 2024",215.63,216.64,209.24,209.98,208.75,-3.18%,"12,415,125"
"Jul 17, 2024",213.80,217.56,213.27,216.87,215.59,1.52%,"11,572,470"
"Jul 16, 2024",210.00,213.74,208.08,213.62,212.36,1.70%,"11,557,018"
"Jul 15, 2024",207.19,211.61,206.72,210.05,208.81,2.49%,"10,719,670"
"Jul 12, 2024",204.00,207.45,202.10,204.94,203.73,-1.21%,"15,443,441"
"Jul 11, 2024",206.21,208.10,205.38,207.45,206.23,-0.17%,"10,666,937"
"Jul 10, 2024",206.14,207.97,205.58,207.80,206.58,0.08%,"8,328,493"
"Jul 9, 2024",205.63,209.76,205.45,207.63,206.41,1.20%,"9,060,258"
"Jul 8, 2024",205.04,206.90,203.97,205.17,203.96,0.19%,"8,706,967"
"Jul 5, 2024",206.99,207.37,204.52,204.79,203.59,-1.87%,"8,093,096"
"Jul 3, 2024",209.55,210.38,207.65,208.69,206.30,-0.07%,"5,560,925"
"Jul 2, 2024",205.29,208.86,204.77,208.83,206.44,1.65%,"7,802,936"
"Jul 1, 2024",202.84,207.09,202.66,205.45,203.10,1.58%,"10,205,836"
