date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",716.31,730.00,712.42,729.73,729.73,0.35%,"5,818,477"
"Nov 18, 2024",733.19,734.00,711.40,727.20,727.20,-2.55%,"9,154,351"
"Nov 15, 2024",775.19,777.98,744.20,746.20,746.20,-5.09%,"7,334,562"
"Nov 14, 2024",809.19,809.19,783.51,786.23,784.86,-3.15%,"3,998,847"
"Nov 13, 2024",820.32,829.11,811.29,811.81,810.40,-0.86%,"3,059,268"
"Nov 12, 2024",830.20,833.99,810.72,818.86,817.44,-1.63%,"3,378,563"
"Nov 11, 2024",831.30,844.00,824.63,832.44,830.99,0.11%,"3,342,750"
"Nov 8, 2024",803.50,847.27,801.26,831.54,830.09,4.27%,"7,212,870"
"Nov 7, 2024",784.65,802.55,778.19,797.45,796.06,2.71%,"4,557,575"
"Nov 6, 2024",817.33,820.73,767.61,776.38,775.03,-3.68%,"8,257,862"
"Nov 5, 2024",803.83,809.21,797.49,806.06,804.66,-0.01%,"3,733,279"
"Nov 4, 2024",805.00,820.19,803.68,806.14,804.74,-1.56%,"3,918,122"
"Nov 1, 2024",828.00,833.00,816.73,818.93,817.51,-1.30%,"5,266,277"
"Oct 31, 2024",836.51,853.50,825.24,829.74,828.30,-2.02%,"6,582,820"
"Oct 30, 2024",798.50,860.50,769.00,846.83,845.36,-6.28%,"18,257,230"
"Oct 29, 2024",898.21,907.98,898.21,903.58,902.01,0.89%,"3,187,510"
"Oct 28, 2024",894.87,898.21,890.78,895.59,894.03,0.32%,"2,084,102"
"Oct 25, 2024",899.73,900.96,889.45,892.70,891.15,0.15%,"2,228,327"
"Oct 24, 2024",898.33,900.00,888.28,891.32,889.77,-1.32%,"1,797,145"
"Oct 23, 2024",905.62,907.95,891.73,903.25,901.68,-0.65%,"2,646,589"
"Oct 22, 2024",901.68,911.12,900.20,909.15,907.57,0.33%,"1,391,776"
"Oct 21, 2024",917.98,918.86,904.56,906.13,904.55,-1.29%,"1,592,229"
"Oct 18, 2024",917.18,920.92,905.62,917.97,916.37,0.09%,"2,286,912"
