date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",518.78,522.65,516.76,519.46,519.46,-0.42%,"2,314,684"
"Nov 18, 2024",518.59,523.49,517.00,521.63,521.63,-0.05%,"2,493,483"
"Nov 15, 2024",518.53,523.39,518.00,521.89,521.89,0.29%,"2,408,193"
"Nov 14, 2024",520.62,522.36,517.65,520.40,520.40,-0.28%,"2,480,583"
"Nov 13, 2024",530.01,530.50,516.42,521.88,521.88,-1.38%,"2,681,881"
"Nov 12, 2024",529.10,530.90,527.30,529.17,529.17,-0.18%,"2,577,628"
"Nov 11, 2024",528.85,534.03,528.52,530.12,530.12,1.02%,"2,213,822"
"Nov 8, 2024",520.34,528.84,519.53,524.76,524.76,1.33%,"2,215,681"
"Nov 7, 2024",523.99,524.03,516.59,517.88,517.88,-0.62%,"2,382,508"
"Nov 6, 2024",520.86,523.00,515.94,521.13,521.13,3.08%,"3,674,066"
"Nov 5, 2024",505.58,508.15,503.61,505.56,505.56,-,"2,132,859"
"Nov 4, 2024",509.14,510.00,503.03,505.58,505.58,-0.49%,"2,165,122"
"Nov 1, 2024",500.44,510.55,498.53,508.08,508.08,1.70%,"3,753,713"
"Oct 31, 2024",521.25,527.90,499.03,499.59,499.59,-2.74%,"5,523,300"
"Oct 30, 2024",512.52,516.45,507.00,513.69,513.69,1.46%,"3,120,968"
"Oct 29, 2024",507.54,511.39,505.70,506.28,506.28,-0.38%,"2,066,616"
"Oct 28, 2024",507.40,510.86,506.14,508.21,508.21,0.17%,"2,186,574"
"Oct 25, 2024",512.50,514.73,505.62,507.36,507.36,-0.64%,"1,582,222"
"Oct 24, 2024",511.90,513.34,509.46,510.62,510.62,-0.61%,"1,912,122"
"Oct 23, 2024",512.66,514.72,511.90,513.73,513.73,0.14%,"1,759,887"
"Oct 22, 2024",511.15,514.55,510.50,513.02,513.02,-0.39%,"1,855,981"
"Oct 21, 2024",516.99,518.82,513.94,515.01,515.01,-0.26%,"2,217,572"
"Oct 18, 2024",514.54,518.00,512.58,516.34,516.34,0.50%,"2,604,684"
"Oct 17, 2024",516.29,517.05,511.52,513.76,513.76,-0.06%,"2,227,465"
"Oct 16, 2024",506.35,515.40,506.00,514.07,514.07,1.35%,"2,956,878"
"Oct 15, 2024",505.62,509.88,504.00,507.23,507.23,0.11%,"2,885,897"
