date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",413.11,417.94,411.55,417.79,417.79,0.49%,"18,133,529"
"Nov 18, 2024",414.87,418.40,412.10,415.76,415.76,0.18%,"24,742,013"
"Nov 15, 2024",419.82,422.80,413.64,415.00,415.00,-2.79%,"28,247,644"
"Nov 14, 2024",425.00,428.17,420.00,426.89,426.89,0.40%,"30,246,881"
"Nov 13, 2024",421.64,429.33,418.21,425.20,425.20,0.51%,"21,502,185"
"Nov 12, 2024",418.25,424.44,417.20,423.03,423.03,1.20%,"19,401,204"
"Nov 11, 2024",422.52,424.81,416.00,418.01,418.01,-1.07%,"24,503,321"
"Nov 8, 2024",425.32,426.50,421.78,422.54,422.54,-0.68%,"16,891,414"
"Nov 7, 2024",421.28,426.85,419.88,425.43,425.43,1.25%,"19,901,782"
"Nov 6, 2024",412.42,420.45,410.52,420.18,420.18,2.12%,"26,681,842"
"Nov 5, 2024",408.37,414.90,408.08,411.46,411.46,0.73%,"17,626,011"
"Nov 4, 2024",409.80,410.42,405.57,408.46,408.46,-0.47%,"19,672,286"
"Nov 1, 2024",409.01,415.50,407.50,410.37,410.37,0.99%,"24,230,442"
"Oct 31, 2024",415.36,416.16,406.30,406.35,406.35,-6.05%,"53,970,981"
"Oct 30, 2024",437.44,438.50,432.10,432.53,432.53,0.13%,"29,749,149"
"Oct 29, 2024",428.00,433.17,425.80,431.95,431.95,1.26%,"17,644,080"
"Oct 28, 2024",431.66,431.94,426.30,426.59,426.59,-0.36%,"14,882,444"
"Oct 25, 2024",426.76,432.52,426.57,428.15,428.15,0.81%,"16,899,064"
"Oct 24, 2024",425.33,425.98,422.40,424.73,424.73,0.03%,"13,581,631"
"Oct 23, 2024",430.86,431.08,422.53,424.60,424.60,-0.68%,"19,654,379"
"Oct 22, 2024",418.49,430.58,418.04,427.51,427.51,2.08%,"25,482,197"
"Oct 21, 2024",416.12,418.96,413.75,418.78,418.78,0.15%,"14,206,115"
"Oct 18, 2024",417.14,419.65,416.26,418.16,418.16,0.35%,"17,145,317"
"Oct 17, 2024",422.36,422.50,415.59,416.72,416.72,0.14%,"14,820,004"
"Oct 16, 2024",415.17,416.36,410.48,416.12,416.12,-0.63%,"15,508,932"
"Oct 15, 2024",422.18,422.48,415.26,418.74,418.74,-0.10%,"18,900,201"
"Oct 14, 2024",417.77,424.04,417.52,419.14,419.14,0.68%,"16,653,086"
"Oct 11, 2024",416.14,417.13,413.25,416.32,416.32,0.12%,"14,144,944"
"Oct 10, 2024",415.23,417.35,413.15,415.84,415.84,-0.39%,"13,848,376"
"Oct 9, 2024",415.86,420.38,414.30,417.46,417.46,0.66%,"14,974,257"
"Oct 8, 2024",410.90,415.66,408.17,414.71,414.71,1.26%,"19,229,261"
"Oct 7, 2024",416.00,417.11,409.00,409.54,409.54,-1.57%,"20,919,761"
"Oct 4, 2024",418.24,419.75,414.97,416.06,416.06,-0.12%,"19,190,913"
"Oct 3, 2024",417.63,419.55,414.29,416.54,416.54,-0.14%,"13,686,421"
"Oct 2, 2024",422.58,422.82,416.71,417.13,417.13,-0.85%,"16,582,257"
"Oct 1, 2024",428.45,428.48,418.81,420.69,420.69,-2.23%,"19,092,945"
"Sep 30, 2024",428.21,430.42,425.37,430.30,430.30,0.53%,"16,854,606"
"Sep 27, 2024",431.52,431.85,427.47,428.02,428.02,-0.76%,"14,896,131"
"Sep 26, 2024",435.09,435.30,429.13,431.31,431.31,-0.19%,"14,492,044"
"Sep 25, 2024",429.83,433.12,428.57,432.11,432.11,0.69%,"13,396,364"
"Sep 24, 2024",433.00,433.35,426.10,429.17,429.17,-1.00%,"17,015,754"
"Sep 23, 2024",434.28,436.46,430.39,433.51,433.51,-0.40%,"15,128,891"
"Sep 20, 2024",437.22,439.24,434.22,435.27,435.27,-0.78%,"55,167,106"
"Sep 19, 2024",441.23,441.50,436.90,438.69,438.69,1.83%,"21,706,559"
"Sep 18, 2024",435.00,436.03,430.41,430.81,430.81,-1.00%,"18,898,042"
"Sep 17, 2024",440.23,441.85,432.27,435.15,435.15,0.88%,"18,874,231"
"Sep 16, 2024",430.60,433.53,428.22,431.34,431.34,0.17%,"13,834,697"
"Sep 13, 2024",425.83,431.83,425.46,430.59,430.59,0.84%,"15,874,555"
"Sep 12, 2024",423.31,427.37,419.75,427.00,427.00,0.94%,"17,418,759"
"Sep 11, 2024",415.50,423.99,409.58,423.04,423.04,2.13%,"19,266,923"
"Sep 10, 2024",408.20,416.33,407.70,414.20,414.20,2.09%,"19,594,287"
"Sep 9, 2024",407.24,408.65,402.15,405.72,405.72,1.00%,"15,295,134"
"Sep 6, 2024",409.06,410.65,400.80,401.70,401.70,-1.64%,"19,609,526"
"Sep 5, 2024",407.62,413.10,406.13,408.39,408.39,-0.12%,"14,195,516"
"Sep 4, 2024",405.91,411.24,404.37,408.90,408.90,-0.13%,"14,886,710"
"Sep 3, 2024",417.91,419.88,407.03,409.44,409.44,-1.85%,"20,313,603"
"Aug 30, 2024",415.60,417.49,412.13,417.14,417.14,0.97%,"24,308,324"
"Aug 29, 2024",414.94,422.05,410.60,413.12,413.12,0.61%,"17,045,241"
"Aug 28, 2024",414.88,415.00,407.31,410.60,410.60,-0.78%,"14,882,660"
"Aug 27, 2024",412.86,414.36,410.25,413.84,413.84,0.08%,"13,492,911"
"Aug 26, 2024",416.37,417.28,411.34,413.49,413.49,-0.79%,"13,152,830"
"Aug 23, 2024",416.98,419.26,412.09,416.79,416.79,0.30%,"18,493,784"
"Aug 22, 2024",424.36,426.79,414.61,415.55,415.55,-2.03%,"19,361,901"
"Aug 21, 2024",424.08,426.40,421.72,424.14,424.14,-0.16%,"16,067,298"
"Aug 20, 2024",421.70,425.86,421.64,424.80,424.80,0.78%,"16,387,581"
