date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",237.03,237.03,232.83,233.20,233.20,-1.62%,"3,715,570"
"Nov 18, 2024",236.92,239.00,234.56,237.03,237.03,0.60%,"2,442,863"
"Nov 15, 2024",238.12,239.18,235.05,235.61,235.61,-0.90%,"3,940,160"
"Nov 14, 2024",241.01,242.44,237.53,237.75,237.75,-1.30%,"3,925,154"
"Nov 13, 2024",239.26,241.09,238.50,240.88,240.88,0.79%,"3,820,373"
"Nov 12, 2024",237.96,239.13,236.26,239.00,239.00,0.29%,"4,226,712"
"Nov 11, 2024",235.89,239.13,234.85,238.32,238.32,1.28%,"3,383,147"
"Nov 8, 2024",233.68,236.74,233.17,235.31,235.31,1.65%,"3,452,218"
"Nov 7, 2024",232.05,233.30,230.00,231.49,231.49,-0.30%,"2,561,798"
"Nov 6, 2024",230.50,232.95,229.24,232.19,232.19,2.24%,"4,115,907"
"Nov 5, 2024",226.09,227.31,224.95,227.11,227.11,1.28%,"2,864,812"
"Nov 4, 2024",224.38,225.00,223.30,224.25,224.25,0.43%,"2,453,927"
"Nov 1, 2024",223.00,224.58,222.60,223.28,223.28,0.05%,"2,922,071"
"Oct 31, 2024",223.34,225.86,222.62,223.16,223.16,0.18%,"4,152,569"
"Oct 30, 2024",225.44,225.73,222.49,222.77,222.77,-1.45%,"4,217,985"
"Oct 29, 2024",227.72,228.76,225.78,226.05,226.05,-0.77%,"3,150,693"
"Oct 28, 2024",228.54,228.56,226.48,227.81,227.81,0.64%,"2,732,576"
"Oct 25, 2024",233.55,234.56,225.24,226.36,226.36,-3.08%,"6,478,408"
"Oct 24, 2024",223.40,234.40,221.00,233.56,233.56,5.71%,"6,920,419"
"Oct 23, 2024",217.53,221.82,216.73,220.95,220.95,0.89%,"5,245,717"
"Oct 22, 2024",218.95,221.12,218.71,219.01,219.01,-1.69%,"6,066,860"
"Oct 21, 2024",222.74,223.91,221.29,222.77,222.77,-0.20%,"4,614,354"
"Oct 18, 2024",221.50,223.45,220.91,223.21,223.21,0.57%,"3,334,391"
"Oct 17, 2024",220.67,222.73,219.90,221.95,221.95,1.00%,"3,177,735"
"Oct 16, 2024",216.26,220.69,216.09,219.76,219.76,1.26%,"2,730,275"
"Oct 15, 2024",215.91,218.33,215.64,217.03,217.03,0.52%,"3,382,516"
"Oct 14, 2024",214.00,216.25,213.73,215.91,215.91,1.35%,"2,655,787"
"Oct 11, 2024",212.66,213.84,212.17,213.04,213.04,0.75%,"1,778,597"
"Oct 10, 2024",213.46,215.18,210.94,211.45,211.45,-0.30%,"2,601,806"
"Oct 9, 2024",211.17,213.47,210.51,212.09,212.09,0.44%,"2,243,572"
