date,open,high,low,close,adj_close,change,volume
"Nov 19, 2024",73.62,74.16,73.13,73.43,73.43,-0.89%,"15,412,942"
"Nov 18, 2024",74.50,74.70,73.72,74.09,74.09,-0.34%,"18,440,126"
"Nov 15, 2024",73.00,74.41,72.89,74.34,74.34,2.12%,"18,836,977"
"Nov 14, 2024",72.85,73.47,72.51,72.80,72.80,0.04%,"13,654,820"
"Nov 13, 2024",72.75,73.96,72.66,72.77,72.77,0.23%,"18,823,337"
"Nov 12, 2024",72.78,73.37,72.11,72.60,72.60,0.06%,"17,848,158"
"Nov 11, 2024",71.02,73.25,71.02,72.56,72.56,3.60%,"17,117,844"
"Nov 8, 2024",70.01,70.13,69.36,70.04,70.04,0.32%,"14,270,937"
"Nov 7, 2024",71.64,71.67,69.74,69.82,69.42,-3.66%,"18,681,172"
"Nov 6, 2024",73.30,74.27,69.95,72.47,72.06,13.11%,"63,689,141"
"Nov 5, 2024",64.00,64.50,63.62,64.07,63.71,0.58%,"13,447,215"
"Nov 4, 2024",64.56,64.65,63.05,63.70,63.34,-1.52%,"12,607,419"
"Nov 1, 2024",65.22,65.58,64.62,64.68,64.31,-0.37%,"13,313,938"
"Oct 31, 2024",65.10,65.75,64.63,64.92,64.55,-0.75%,"12,963,150"
"Oct 30, 2024",65.13,66.40,65.13,65.41,65.04,0.17%,"16,021,700"
"Oct 29, 2024",65.49,66.00,65.24,65.30,64.93,-0.47%,"13,205,453"
"Oct 28, 2024",65.00,65.75,64.81,65.61,65.24,1.67%,"16,158,895"
"Oct 25, 2024",65.85,65.95,64.25,64.53,64.16,-1.38%,"14,855,494"
"Oct 24, 2024",64.62,65.57,64.33,65.43,65.06,1.35%,"18,393,320"
"Oct 23, 2024",64.77,65.05,63.86,64.56,64.19,-0.39%,"18,380,876"
"Oct 22, 2024",64.02,65.21,64.00,64.81,64.44,1.23%,"26,164,886"
"Oct 21, 2024",64.48,64.69,63.92,64.02,63.66,-0.53%,"15,603,359"
"Oct 18, 2024",64.41,64.78,63.83,64.36,64.00,-0.03%,"19,234,041"
"Oct 17, 2024",64.49,64.72,63.50,64.38,64.01,0.77%,"15,073,498"
"Oct 16, 2024",63.24,64.08,63.12,63.89,63.53,1.36%,"17,412,649"
"Oct 15, 2024",62.91,63.82,62.23,63.03,62.67,1.40%,"24,693,400"
"Oct 14, 2024",61.27,63.35,60.94,62.16,61.81,1.92%,"30,758,849"
"Oct 11, 2024",59.96,61.72,59.92,60.99,60.64,5.61%,"37,049,236"
"Oct 10, 2024",57.72,58.39,57.35,57.75,57.42,0.36%,"12,743,970"
"Oct 9, 2024",57.32,57.73,57.07,57.54,57.21,0.42%,"12,415,302"
"Oct 8, 2024",58.28,58.28,57.27,57.30,56.98,0.24%,"12,073,043"
"Oct 7, 2024",57.23,57.63,56.80,57.16,56.84,0.35%,"11,177,802"
"Oct 4, 2024",55.99,57.13,55.98,56.96,56.64,3.60%,"14,594,449"
"Oct 3, 2024",55.08,55.21,54.41,54.98,54.67,-0.58%,"8,135,347"
"Oct 2, 2024",55.33,55.81,54.92,55.30,54.99,-0.16%,"9,007,156"
"Oct 1, 2024",56.00,56.03,55.20,55.39,55.08,-1.95%,"11,069,395"
"Sep 30, 2024",55.66,56.52,55.48,56.49,56.17,1.06%,"16,286,042"
"Sep 27, 2024",56.62,56.62,55.80,55.90,55.58,-0.87%,"13,530,435"
"Sep 26, 2024",54.04,57.11,53.32,56.39,56.07,5.19%,"34,463,426"
"Sep 25, 2024",54.28,54.33,53.41,53.61,53.31,-1.02%,"10,555,705"
"Sep 24, 2024",55.12,55.19,53.79,54.16,53.85,-1.72%,"16,365,645"
"Sep 23, 2024",56.26,56.52,54.90,55.11,54.80,-2.10%,"14,759,257"
"Sep 20, 2024",55.35,56.29,54.88,56.29,55.97,0.88%,"45,276,002"
"Sep 19, 2024",55.01,56.01,54.65,55.80,55.48,2.84%,"21,399,027"
"Sep 18, 2024",54.46,55.19,54.10,54.26,53.95,-0.46%,"20,108,994"
"Sep 17, 2024",53.97,55.07,53.97,54.51,54.20,1.34%,"15,885,201"
"Sep 16, 2024",52.81,53.93,52.81,53.79,53.49,1.91%,"18,066,190"
"Sep 13, 2024",51.86,53.04,51.75,52.78,52.48,2.35%,"24,762,027"
"Sep 12, 2024",53.73,54.34,50.22,51.57,51.28,-4.02%,"42,605,419"
"Sep 11, 2024",53.72,53.86,52.43,53.73,53.43,-0.41%,"17,322,037"
"Sep 10, 2024",56.00,56.10,53.38,53.95,53.64,-1.17%,"24,649,976"
"Sep 9, 2024",54.73,55.08,54.43,54.59,54.28,1.09%,"17,134,809"
"Sep 6, 2024",56.68,56.78,53.69,54.00,53.69,-5.03%,"21,853,782"
"Sep 5, 2024",58.62,58.68,56.54,56.86,56.54,-2.17%,"18,301,040"
"Sep 4, 2024",58.49,59.00,57.72,58.12,57.79,-0.43%,"10,975,761"
"Sep 3, 2024",58.62,58.95,57.90,58.37,58.04,-0.17%,"15,933,591"
"Aug 30, 2024",57.45,58.58,57.38,58.47,58.14,1.95%,"20,377,255"
"Aug 29, 2024",57.31,57.77,56.51,57.35,57.02,0.49%,"9,283,465"
"Aug 28, 2024",56.06,57.36,56.03,57.07,56.75,1.44%,"11,905,210"
"Aug 27, 2024",56.71,56.92,56.16,56.26,55.94,-0.81%,"7,638,523"
"Aug 26, 2024",57.02,57.15,56.54,56.72,56.40,0.04%,"9,478,780"
"Aug 23, 2024",56.42,57.40,56.32,56.70,56.38,1.32%,"17,074,409"
"Aug 22, 2024",55.70,56.37,55.66,55.96,55.64,0.90%,"15,683,045"
"Aug 21, 2024",56.44,56.45,55.20,55.46,55.15,-1.23%,"13,691,706"
"Aug 20, 2024",56.03,56.72,55.92,56.15,55.83,-0.53%,"12,533,548"
"Aug 19, 2024",55.35,56.46,55.26,56.45,56.13,2.02%,"12,792,854"
"Aug 16, 2024",54.78,55.43,54.61,55.33,55.02,1.39%,"19,173,886"
"Aug 15, 2024",54.50,55.17,54.43,54.57,54.26,1.70%,"16,549,362"
"Aug 14, 2024",53.03,53.78,52.72,53.66,53.36,1.49%,"13,217,178"
"Aug 13, 2024",52.36,52.96,51.81,52.87,52.57,1.56%,"12,268,566"
"Aug 12, 2024",52.91,53.47,51.68,52.06,51.76,-1.33%,"18,090,061"
"Aug 9, 2024",52.30,52.83,52.07,52.76,52.46,-,"11,668,975"
"Aug 8, 2024",52.97,53.32,52.65,52.76,52.07,0.90%,"16,176,021"
"Aug 7, 2024",53.15,53.49,52.15,52.29,51.60,-0.13%,"18,407,499"
"Aug 6, 2024",52.28,52.96,52.05,52.36,51.67,0.46%,"18,723,461"
"Aug 5, 2024",51.30,52.40,50.15,52.12,51.43,-2.14%,"28,594,008"
"Aug 2, 2024",55.18,55.57,52.80,53.26,52.56,-6.36%,"27,642,566"
"Aug 1, 2024",59.26,59.34,56.52,56.88,56.13,-4.15%,"17,752,743"
"Jul 31, 2024",59.82,60.12,59.20,59.34,58.56,-1.12%,"11,535,807"
"Jul 30, 2024",60.46,60.73,59.89,60.01,59.22,0.70%,"11,503,929"
"Jul 29, 2024",60.74,60.83,59.35,59.59,58.81,-1.32%,"8,986,171"
"Jul 26, 2024",59.85,60.45,59.57,60.39,59.60,1.16%,"12,538,935"
"Jul 25, 2024",59.56,60.73,59.45,59.70,58.91,0.44%,"14,119,567"
"Jul 24, 2024",59.77,60.21,59.37,59.44,58.66,-0.39%,"10,777,076"
"Jul 23, 2024",59.20,59.91,59.04,59.67,58.89,0.90%,"10,927,821"
"Jul 22, 2024",59.26,59.39,58.54,59.14,58.36,-0.15%,"13,638,599"
"Jul 19, 2024",59.30,59.77,59.11,59.23,58.45,-0.02%,"12,362,828"
"Jul 18, 2024",60.62,60.82,58.99,59.24,58.46,-2.74%,"17,739,015"
"Jul 17, 2024",60.16,61.00,59.89,60.91,60.11,1.11%,"17,371,094"
"Jul 16, 2024",58.04,60.62,57.53,60.24,59.45,4.35%,"25,577,337"
"Jul 15, 2024",57.05,58.24,57.04,57.73,56.97,2.10%,"27,277,286"
"Jul 12, 2024",56.20,56.92,55.60,56.54,55.80,-6.02%,"53,042,761"
"Jul 11, 2024",59.40,60.71,59.28,60.16,59.37,0.74%,"16,852,839"
"Jul 10, 2024",59.54,59.99,59.38,59.72,58.93,-0.27%,"12,097,212"
"Jul 9, 2024",59.08,60.42,58.92,59.88,59.09,1.47%,"12,238,284"
"Jul 8, 2024",59.97,60.41,58.66,59.01,58.23,-1.02%,"12,479,998"
"Jul 5, 2024",60.50,60.66,59.11,59.62,58.84,-1.71%,"11,436,349"
"Jul 3, 2024",61.00,61.14,60.16,60.66,59.86,-0.51%,"6,698,813"
"Jul 2, 2024",60.49,61.18,60.14,60.97,60.17,0.63%,"9,543,675"
"Jul 1, 2024",59.61,60.61,59.57,60.59,59.79,2.02%,"14,470,399"
